date,station_id,p05,p20,p40,p60,p80,p95
2025-01-01,1495,-5.47,-2.8,-1.15,0.26,1.73,3.62
2025-01-02,1495,-5.22,-2.91,-1.3,0.37,1.66,3.76
2025-01-03,1495,-5.17,-3.05,-1.3,0.32,1.55,3.82
2025-01-04,1495,-5.65,-3.11,-1.34,0.22,1.39,3.63
2025-01-05,1495,-5.45,-3.28,-1.42,0.12,1.41,3.68
2025-01-06,1495,-5.68,-3.61,-1.3,0.02,1.52,3.83
2025-01-07,1495,-5.5,-3.78,-1.55,-0.1,1.64,4.18
2025-01-08,1495,-5.62,-3.91,-1.76,0.18,1.6,4.34
2025-01-09,1495,-6.1,-4.09,-1.69,0.25,1.86,4.38
2025-01-10,1495,-6.39,-4.27,-1.95,0.28,1.78,4.41
2025-01-11,1495,-6.47,-4.44,-1.92,0.62,1.55,4.08
2025-01-12,1495,-6.34,-4.43,-1.87,0.29,1.59,3.88
2025-01-13,1495,-6.7,-4.29,-1.77,0.14,1.73,3.86
2025-01-14,1495,-6.69,-4.57,-1.54,0.05,1.69,3.75
2025-01-15,1495,-6.75,-4.5,-1.34,0.09,1.35,3.63
2025-01-16,1495,-6.19,-4.3,-1.22,0.0,1.33,3.74
2025-01-17,1495,-6.08,-4.22,-0.98,-0.04,1.18,3.88
2025-01-18,1495,-5.88,-3.82,-1.15,0.02,1.17,3.77
2025-01-19,1495,-5.72,-3.99,-1.41,0.11,1.02,3.65
2025-01-20,1495,-5.86,-4.15,-1.2,0.06,1.23,3.37
2025-01-21,1495,-5.6,-3.83,-1.08,0.07,1.49,3.45
2025-01-22,1495,-5.65,-3.47,-1.01,-0.03,1.57,3.26
2025-01-23,1495,-5.79,-3.12,-1.07,-0.21,1.81,3.01
2025-01-24,1495,-6.16,-3.03,-0.88,-0.2,1.43,3.09
2025-01-25,1495,-5.76,-3.11,-0.98,-0.1,1.82,3.13
2025-01-26,1495,-5.67,-3.09,-1.01,0.05,1.66,3.13
2025-01-27,1495,-5.69,-3.03,-1.03,0.42,1.85,3.43
2025-01-28,1495,-5.47,-2.85,-1.07,0.29,1.87,3.6
2025-01-29,1495,-4.92,-2.57,-1.11,0.17,2.27,3.67
2025-01-30,1495,-5.05,-2.54,-0.87,0.27,2.41,3.84
2025-01-31,1495,-4.93,-2.55,-0.79,0.39,2.11,4.01
2025-02-01,1495,-4.96,-2.59,-0.82,0.59,1.97,4.07
2025-02-02,1495,-5.0,-2.81,-0.62,1.02,2.01,4.1
2025-02-03,1495,-5.07,-2.52,-0.55,1.26,2.3,4.36
2025-02-04,1495,-5.23,-2.4,-0.37,1.31,2.67,4.4
2025-02-05,1495,-5.25,-2.52,-0.23,1.41,2.77,4.46
2025-02-06,1495,-5.21,-2.57,0.01,1.46,2.92,4.38
2025-02-07,1495,-5.44,-2.6,-0.09,1.74,3.16,4.53
2025-02-08,1495,-5.62,-2.71,-0.23,1.87,3.35,4.49
2025-02-09,1495,-5.3,-2.51,-0.33,1.97,3.35,4.55
2025-02-10,1495,-4.85,-2.13,-0.08,1.88,3.57,4.81
2025-02-11,1495,-5.06,-1.95,-0.07,1.82,3.6,4.84
2025-02-12,1495,-4.73,-2.14,-0.3,1.99,3.68,4.85
2025-02-13,1495,-4.5,-2.13,0.03,2.02,3.73,4.87
2025-02-14,1495,-4.33,-2.2,0.18,2.01,3.78,5.15
2025-02-15,1495,-4.12,-1.9,0.44,1.95,3.67,5.41
2025-02-16,1495,-4.15,-1.65,0.28,2.27,3.69,5.36
2025-02-17,1495,-4.09,-1.28,0.29,2.16,3.7,5.41
2025-02-18,1495,-3.76,-1.24,0.36,2.19,3.75,5.43
2025-02-19,1495,-3.71,-1.18,0.34,2.35,3.71,5.52
2025-02-20,1495,-3.74,-0.96,0.56,2.48,3.78,5.47
2025-02-21,1495,-3.52,-0.93,0.61,2.63,3.86,5.57
2025-02-22,1495,-3.53,-1.11,0.8,2.64,3.83,5.79
2025-02-23,1495,-3.41,-0.92,0.99,2.66,3.92,6.03
2025-02-24,1495,-3.31,-0.88,1.08,2.88,4.23,6.22
2025-02-25,1495,-3.25,-1.08,1.29,2.94,4.5,6.25
2025-02-26,1495,-2.61,-0.72,1.39,3.26,4.97,6.45
2025-02-27,1495,-2.8,-0.59,1.5,3.38,5.29,6.59
2025-02-28,1495,-2.95,-0.15,1.56,3.66,5.4,6.63
2025-03-01,1495,-3.32,0.0,1.54,3.95,5.45,6.63
2025-03-02,1495,-3.23,0.16,1.52,4.18,5.74,6.88
2025-03-03,1495,-2.85,0.33,1.49,4.24,5.88,6.95
2025-03-04,1495,-2.7,0.26,1.73,4.3,6.0,7.05
2025-03-05,1495,-2.18,0.3,1.87,4.28,6.1,7.09
2025-03-06,1495,-1.66,0.27,2.19,4.62,6.17,7.23
2025-03-07,1495,-1.66,0.5,2.55,4.74,6.17,7.41
2025-03-08,1495,-1.37,0.69,2.81,4.76,6.22,7.58
2025-03-09,1495,-1.06,0.88,3.02,4.81,6.44,7.97
2025-03-10,1495,-0.77,0.93,3.24,4.95,6.84,8.22
