x,y,spei,balance,cat,rank,total,color,season,n_days
0,1950,-0.31,129.3,normal,26,77,#e7e0d0,Winter,59
0,1951,0.74,396.2,normal,75,77,#e7e0d0,Winter,90
0,1952,0.37,254.8,normal,64,77,#e7e0d0,Winter,91
0,1953,0.09,190.5,normal,44,77,#e7e0d0,Winter,90
0,1954,-1.42,58.6,dry,5,77,#c2713a,Winter,90
0,1955,0.33,245.2,normal,60,77,#e7e0d0,Winter,90
0,1956,-0.42,117.9,normal,22,77,#e7e0d0,Winter,91
0,1957,-0.49,111.2,normal,19,77,#e7e0d0,Winter,90
0,1958,0.37,255.6,normal,65,77,#e7e0d0,Winter,90
0,1959,0.01,176.0,normal,37,77,#e7e0d0,Winter,90
0,1960,0.54,311.4,normal,70,77,#e7e0d0,Winter,91
0,1961,0.09,189.3,normal,43,77,#e7e0d0,Winter,90
0,1962,0.15,202.2,normal,48,77,#e7e0d0,Winter,90
0,1963,0.14,200.6,normal,47,77,#e7e0d0,Winter,90
0,1964,-0.99,75.4,normal,7,77,#e7e0d0,Winter,91
0,1965,0.33,244.0,normal,59,77,#e7e0d0,Winter,90
0,1966,0.27,230.1,normal,57,77,#e7e0d0,Winter,90
0,1967,-0.23,139.7,normal,30,77,#e7e0d0,Winter,90
0,1968,0.15,203.3,normal,49,77,#e7e0d0,Winter,91
0,1969,0.42,269.7,normal,66,77,#e7e0d0,Winter,90
0,1970,0.27,229.4,normal,56,77,#e7e0d0,Winter,90
0,1971,0.08,188.7,normal,42,77,#e7e0d0,Winter,90
0,1972,0.04,180.7,normal,38,77,#e7e0d0,Winter,91
0,1973,0.08,188.4,normal,41,77,#e7e0d0,Winter,90
0,1974,-0.38,121.8,normal,23,77,#e7e0d0,Winter,90
0,1975,-3.0,40.5,extreme_dry,2,77,#8b3a0f,Winter,90
0,1976,-0.54,106.4,normal,17,77,#e7e0d0,Winter,91
0,1977,0.8,428.8,normal,77,77,#e7e0d0,Winter,90
0,1978,0.12,197.0,normal,46,77,#e7e0d0,Winter,90
0,1979,0.59,330.7,normal,73,77,#e7e0d0,Winter,90
0,1980,-0.29,132.0,normal,28,77,#e7e0d0,Winter,91
