location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-01,0.08399999,-3.853,-2.199375,0.0,0.6731418,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-02,1.447,-5.053,-1.6925836,0.0,0.8393853,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-03,5.5969996,-2.603,0.5407501,0.0,1.006831,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-04,5.7469997,-3.053,0.20950012,0.3,0.5621594,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-05,1.697,-3.253,-1.153,0.0,0.39402294,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-06,6.3469996,-2.253,1.4407501,0.0,0.5333869,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-07,7.297,-4.053,1.2449168,0.0,0.56929183,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-08,8.547,-1.3529999,2.0386667,0.0,0.7281893,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-09,6.797,-1.253,2.1907501,0.0,0.8331879,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-10,9.047,0.097,4.15325,0.0,0.6809114,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-11,5.397,-1.6529999,2.0303333,1.0,0.38581786,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-12,-0.853,-3.253,-2.22175,1.8000002,0.53951967,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-13,4.097,-3.3029997,-0.4779999,0.2,0.5872028,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-14,6.197,-2.6529999,1.3178333,0.0,0.7526069,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-15,8.1970005,-1.003,2.7469997,0.0,0.65093637,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-16,6.947,-2.053,2.2824166,0.0,0.66168207,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-17,2.8470001,1.197,1.9990834,17.1,0.15990843,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-18,1.8970001,-1.803,0.9324166,16.599998,0.26896313,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-19,-2.1529999,-8.603,-5.0655003,2.8999999,0.3581847,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-20,-1.4029999,-4.1530004,-2.778,3.9999998,0.26728505,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-21,-1.9529998,-12.103,-6.0384164,0.0,0.48334315,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-22,-1.1529999,-17.303001,-9.848833,0.1,0.4658313,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-23,-5.9030004,-14.903,-10.367583,0.0,0.36393267,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-24,-8.502999,-13.653,-10.419667,0.0,0.34922925,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-25,-6.103,-18.303001,-11.792583,0.0,0.43877152,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-26,-1.553,-13.353,-6.886332,0.0,0.53092337,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-27,1.3970001,-4.553,-1.7404999,3.7,0.4358029,era5
Celje,46.2313,15.2617,241,241.0,0.0,1950-01-28,-2.603,-5.0030003,-3.9821663,10.200005,0.26844704,era5
