location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-01,-0.76649976,-5.4745,-3.2193336,0.0,0.559867,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-02,0.67550004,-7.6745,-3.8161662,0.0,0.63558,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-03,4.1755,-2.7745001,-0.6245001,0.2,0.696801,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-04,5.7255,-3.1745,-0.109916724,0.0,0.62627774,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-05,2.7254999,-3.2245002,-0.80158335,0.0,0.4533867,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-06,4.4755,-2.0745,0.7963334,0.0,0.35319886,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-07,6.4755,-3.8745003,1.6379999,0.0,0.52890337,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-08,7.2255,-2.5245001,1.31925,0.0,0.6744534,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-09,4.6254997,-3.1745,0.5796668,0.0,0.57444054,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-10,7.6254997,0.5755,3.1588333,0.0,0.6095378,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-11,6.9255,0.0255,2.488,0.3,0.48569533,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-12,-0.47449997,-3.6745,-2.4890835,2.9000003,0.40876567,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-13,5.4755,-3.7245002,0.20674998,0.2,0.6854104,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-14,4.7755,-2.9245,0.23383339,0.0,0.62667257,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-15,7.2255,-0.9245,2.4359167,0.0,0.62563854,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-16,4.4755,-2.7745001,1.0129999,0.5,0.43532336,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-17,3.3255,0.3255,1.3505,21.100002,0.15876473,era5
Domzale,46.1375,14.5942,301,300.0,-1.0,1950-01-18,1.0755,-2.2245002,0.31925002,12.900001,0.22814746,era5
