location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-01,-1.256,-4.759,-3.631792,0.0,0.71616495,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-02,1.3410001,-6.259,-2.756917,0.0,0.8169726,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-03,3.291,-2.359,-0.25691673,0.3,0.5262323,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-04,6.0410004,-2.459,0.51600003,0.0,0.61573374,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-05,3.541,-2.4090002,-0.38608333,0.0,0.51020575,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-06,6.341,-0.10900003,2.511834,1.6,0.28930467,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-07,6.241,-1.859,2.3680837,0.2,0.45528063,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-08,8.941,-0.95900005,2.501417,0.0,0.73384917,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-09,5.841,-1.4590001,1.7722498,0.0,0.6146043,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-10,8.391,1.441,3.7930832,0.0,0.6054956,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-11,7.991,-1.4590001,2.6910002,0.8,0.58525234,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-12,-1.359,-4.6089997,-3.09025,1.3000001,0.5870669,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-13,4.3910003,-3.609,-0.4319166,0.0,0.68605757,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-14,5.7910004,-3.4090002,0.35766673,0.0,0.7385823,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-15,8.041,-1.2590001,1.7180833,0.0,0.72175694,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-16,5.341,-1.1589999,2.4201665,0.9,0.3668611,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-17,3.491,0.491,2.0222497,37.0,0.1635832,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-18,0.491,-3.359,-0.51108336,22.300003,0.21723676,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-19,-3.859,-8.209,-6.6839995,4.3,0.2705896,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-20,-4.2089996,-7.259,-5.2464995,7.5999994,0.21124466,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-21,-4.159,-9.859,-6.6485825,0.0,0.47741845,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-22,-3.1590002,-11.158999,-7.661083,0.0,0.4904678,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-23,-8.059,-10.359,-9.375667,1.0000001,0.28571114,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-24,-10.309,-14.408999,-12.517333,0.3,0.2681003,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-25,-8.658999,-14.459,-11.731915,0.1,0.37509665,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-26,-0.259,-10.009,-4.284,0.0,0.5196828,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-27,4.291,-1.059,0.8930833,9.099999,0.38858473,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-28,-1.359,-6.509,-4.992334,13.7,0.25973496,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-29,-6.3589997,-10.959,-9.273583,21.900002,0.20182353,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-30,-6.259,-11.509,-9.881917,0.70000005,0.5070491,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-01-31,-6.759,-12.559,-9.95275,0.0,0.5558467,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-01,-0.509,-11.709,-5.044416,0.1,0.42674,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-02,-0.259,-5.8589997,-3.1215003,0.0,0.6067307,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-03,-2.6590002,-6.8589997,-5.2714996,0.0,0.45144808,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-04,2.691,-6.409,-0.581917,0.9000001,0.28766632,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-05,5.941,2.291,3.7035005,1.5,0.47306207,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-06,6.741,2.241,4.10975,8.4,0.6562682,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-07,3.541,1.2409999,2.1743333,0.9000001,0.6320927,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-08,4.491,-1.109,1.7660002,0.3,0.97112733,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-09,2.041,-1.9090002,1.0889167,16.800003,0.28136232,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-10,4.7910004,-3.9589999,0.26183334,0.0,0.88417757,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-11,7.691,0.04100001,4.088917,0.2,0.6254142,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-12,6.741,-1.7090001,3.636834,7.8,0.57521474,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-13,7.241,-3.9090002,2.7680833,1.5,0.7712964,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-14,8.191,1.441,5.3055835,14.599999,0.67437804,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-15,4.7910004,-0.759,1.5389171,0.0,1.1070365,era5
Kocevje,45.6433,14.8619,467,469.0,2.0,1950-02-16,12.091001,-1.9590001,3.6285,0.0,1.4578092,era5
