location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Koper,45.5483,13.73,10,18.0,8.0,1950-01-01,4.1395,0.81350005,2.0125,0.0,1.7062106,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-02,5.0135,0.013500035,2.026,0.0,1.0267377,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-03,6.7635,0.41350004,3.4176672,0.3,0.56786335,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-04,6.8135004,0.61350006,4.3385005,0.0,0.66662216,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-05,8.2635,0.16350004,4.1926665,0.0,0.6496001,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-06,8.7635,2.6134999,6.6426673,0.9000001,0.3840327,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-07,9.4135,1.4635,6.128084,0.0,0.55579555,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-08,8.3135,3.2635,5.4635005,0.0,0.64395654,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-09,6.6135,3.7135,5.573917,0.0,0.4926388,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-10,8.7635,3.0635,6.259334,0.0,0.576498,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-11,8.613501,3.1134999,5.7843337,0.0,0.6487947,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-12,4.6635003,1.1635001,3.2718334,0.4,1.0337509,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-13,7.0635004,-0.23649997,3.3218334,0.70000005,0.7298189,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-14,6.3135004,3.2135,4.8447504,0.0,0.62144166,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-15,7.5635004,3.3135,5.059333,0.0,0.70325863,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-16,8.4635,1.3135,5.4905834,2.3000002,0.28770795,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-17,8.4635,4.8635,6.9676666,24.0,0.4861728,era5
Koper,45.5483,13.73,10,18.0,8.0,1950-01-18,5.2135,2.6134999,4.3384995,8.2,1.0277644,era5
