location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-01,-4.6615,-12.311501,-8.627167,0.0,0.4322279,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-02,-1.8615,-13.1615,-7.2010827,0.1,0.60592204,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-03,-0.21150002,-9.5115,-5.503168,0.5,0.6085394,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-04,-2.1115,-11.5115,-7.299,0.0,0.47339872,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-05,-3.0115,-10.4115,-6.755249,0.6,0.359413,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-06,0.53849995,-7.4115,-3.3052502,0.0,0.37779725,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-07,0.48849997,-9.6615,-4.3073335,0.0,0.4660368,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-08,1.6885,-8.9615,-4.274001,0.0,0.56808925,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-09,2.5385,-5.8115,-2.2615001,0.0,0.6047734,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-10,2.6385,-5.9615,-2.24275,0.0,0.5745692,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-11,0.9885,-5.6115003,-3.0156667,1.2,0.35713166,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-12,-3.6615,-6.2115,-4.9510837,3.9999995,0.32008013,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-13,0.23849997,-12.5115,-6.0365005,0.0,0.57219124,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-14,1.4384999,-8.3615,-3.4323332,0.0,0.5695386,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-15,2.2385,-6.3615003,-2.590666,0.0,0.56495327,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-16,1.4885,-5.1115003,-1.5489999,0.3,0.50348836,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-17,-1.2615,-4.3115,-3.4115002,14.500003,0.18363073,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-18,-3.8114998,-7.7615004,-4.894834,11.1,0.21322261,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-19,-6.8615003,-12.311501,-8.96775,1.2,0.3718293,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-20,-4.8615003,-9.9615,-7.501083,2.0000002,0.27304608,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-21,-4.9615,-14.4615,-9.367751,0.0,0.44174418,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-22,-7.7115,-20.3115,-13.634416,0.0,0.34230986,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-23,-11.2115,-21.9615,-16.1365,0.0,0.31865624,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-24,-11.9115,-16.1115,-14.184418,0.0,0.3056743,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-25,-8.7115,-19.8115,-13.403165,0.0,0.409111,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-26,-3.3615,-14.561501,-7.999,0.0,0.50070435,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-27,-0.8615,-5.0115004,-3.0760832,4.3,0.47741225,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-28,-2.6615,-7.5115004,-5.3010836,9.1,0.28234768,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-29,-7.6115003,-11.061501,-9.399001,10.099999,0.24812569,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-30,-6.8615003,-15.2115,-10.724,0.3,0.56076425,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-01-31,-4.9615,-19.8115,-10.765667,0.0,0.506023,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-01,-2.6615,-11.4115,-6.7031655,0.0,0.5234067,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-02,-2.6115,-11.9615,-6.7177505,0.0,0.6178151,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-03,-3.9115,-8.4615,-6.2615,0.0,0.492399,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-04,0.53849995,-6.1115003,-2.7489998,0.3,0.5292282,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-05,0.9384999,-2.2615,-0.8344167,1.6000001,0.44921434,era5
Kredarica,46.3792,14.5267,2514,1307.0,-1207.0,1950-02-06,1.4885,-1.9115001,-0.6990001,2.4999995,0.53893477,era5
