location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-01,0.16000009,-6.6655,-3.9686048,0.0,0.7118536,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-02,0.7345,-8.315499,-3.9446661,0.0,0.71109384,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-03,3.9845002,-3.4654999,-0.9884165,0.2,0.70053506,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-04,5.8845,-3.2154999,0.28658327,0.0,0.6215498,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-05,3.0345001,-3.2154999,-0.6113332,0.0,0.4935744,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-06,4.2844996,-1.9155,0.8011666,0.0,0.30007473,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-07,6.6345,-3.8155,1.6386666,0.0,0.51238304,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-08,7.3345,-2.0154998,1.5574166,0.0,0.6919995,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-09,4.3345,-3.1155,0.59283334,0.0,0.5807046,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-10,7.6345,0.6345,3.1032495,0.0,0.57610416,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-11,7.1844997,-0.7655,2.3699167,0.6,0.5365774,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-12,-1.1655,-3.8155,-2.7988331,1.4000002,0.5177471,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-13,5.6844997,-3.6155,0.4740834,0.0,0.70192903,era5
Ljubljana,46.0511,14.5051,299,300.0,1.0,1950-01-14,4.4845,-3.0655,-0.05924998,0.0,0.66291857,era5
