location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-01,-0.9819999,-4.482,-2.632125,0.0,0.6637348,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-02,2.418,-5.832,-1.96325,0.0,1.0898818,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-03,6.018,-1.7319999,0.8200833,0.0,0.9550507,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-04,5.418,-2.332,0.39925012,0.0,0.5739804,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-05,2.118,-2.332,-0.7195,0.2,0.41807225,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-06,6.018,-0.732,1.6492499,0.0,0.608937,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-07,7.568,-3.9320002,0.9430001,0.0,0.57863414,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-08,9.068,-1.9819999,1.8159169,0.0,0.6862093,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-09,7.918,-0.18199992,2.495083,0.0,1.0622371,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-10,8.918,-0.88199997,3.5284164,0.0,0.71392125,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-11,3.968,-3.2319999,0.8534165,2.9,0.26518187,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-12,-1.382,-4.282,-3.0049162,1.6000001,0.55477005,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-13,5.068,-4.332,-1.1611667,1.4000001,0.56790495,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-14,5.068,-5.482,-0.35283324,0.0,0.643283,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-15,8.418,-1.882,1.4325833,0.0,0.6650531,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-16,7.918,-3.132,1.9971666,0.0,0.76664996,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-17,2.5180001,0.568,1.6638335,12.800002,0.16407338,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-18,1.468,-1.6819999,0.6054999,23.6,0.26811913,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-19,-2.282,-7.182,-4.846583,4.7,0.35224527,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-20,-0.832,-4.532,-2.8153334,7.1,0.2688905,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-21,-1.9819999,-12.232,-6.5215836,0.0,0.4884773,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-22,-1.832,-15.582001,-9.373668,0.2,0.4436488,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-23,-6.532,-13.482,-10.332,0.1,0.3511831,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-24,-8.482,-14.332,-10.988251,0.5,0.34015825,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-25,-7.632,-18.532,-12.834084,0.0,0.39897782,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-26,-3.7319999,-18.032,-10.1695,0.0,0.47483122,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-27,-0.9319999,-8.382,-4.6445003,2.6,0.37207755,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-28,-3.782,-6.282,-4.8049164,13.099999,0.2433676,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-29,-4.782,-8.932,-7.6632504,12.200001,0.31545877,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-30,-2.9819999,-13.482,-8.227833,1.9000001,0.60289484,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-01-31,-4.482,-17.482,-10.875749,0.0,0.39638856,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-01,-3.282,-12.682,-7.909084,0.0,0.49784952,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-02,-1.5320001,-13.832,-6.8840847,0.0,0.60736054,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-03,-2.2319999,-8.382,-5.554917,0.0,0.41001323,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-04,0.11800003,-9.182,-4.12575,0.0,0.42253372,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-05,6.968,-0.031999946,3.3055,0.0,0.74453974,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-06,7.768,2.218,4.8096666,0.2,0.84205,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-07,6.318,-1.9819999,2.4450834,1.4000001,0.72507143,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-08,5.818,-9.182,-0.4590832,0.0,1.0056273,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-09,5.218,-3.5819998,1.2513334,2.8000002,0.6725019,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-10,6.068,-3.782,1.6596667,0.3,0.90600544,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-11,8.968,1.518,4.3825836,0.5,1.0605805,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-12,5.418,-0.78199995,2.4492502,11.8,0.5661974,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-13,8.118,-1.7319999,3.588833,0.0,1.177665,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-14,8.818,0.41800004,4.8305,12.5,0.8045861,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-15,7.468,-3.9819999,1.1825835,0.0,1.263628,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-16,13.568,-3.7319999,3.4909165,0.0,1.548149,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-17,13.568,-2.682,4.3721666,0.0,1.4896281,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-18,13.468,-1.632,4.6534166,0.0,1.5866066,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-19,12.918,-2.9819999,4.3992496,0.0,1.5325353,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-20,12.218,-1.082,4.953417,0.0,1.5776824,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-21,9.868,1.668,5.345083,0.0,1.2497754,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-22,9.218,-0.33200002,4.1555,0.0,1.6571317,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-23,8.618,-2.2319999,2.4992502,0.0,1.7241125,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-24,9.968,0.568,4.895084,0.0,1.7655729,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-25,11.768,1.768,6.976332,0.0,1.5705003,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-26,10.118,4.418,7.1804996,1.5,0.90890324,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-27,5.118,0.71800005,2.6346664,5.9999995,0.59810364,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-02-28,3.818,-1.2319999,1.03675,0.0,1.1361672,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-01,1.018,-1.582,-0.43616664,6.2999997,0.6847014,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-02,4.968,-0.832,1.5221667,2.8999996,0.7677196,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-03,5.318,0.41800004,2.4909165,3.0000005,0.6733607,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-04,7.418,-0.88199997,3.1680002,0.1,1.4320205,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-05,7.818,-1.5320001,3.518,0.4,1.5281506,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-06,13.518,-1.882,5.1992497,0.0,1.7737372,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-07,16.468,-1.4319999,6.982584,0.0,2.0735538,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-08,18.468,-0.53199995,9.853416,0.0,2.3638575,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-09,15.268,3.0180001,8.9805,0.0,1.9274089,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-10,14.818,1.518,8.097167,5.6,1.924552,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-11,10.268,3.218,6.4096665,0.8,1.5755886,era5
Maribor,46.5547,15.6459,270,262.0,-8.0,1950-03-12,13.368,1.218,7.0096664,0.6,2.0733848,era5
