location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-01,-1.1090001,-4.259,-2.6297705,0.0,0.84518063,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-02,1.091,-6.6089997,-2.769417,0.0,0.95062244,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-03,5.341,-2.9589999,0.45975003,0.0,0.95333827,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-04,4.8910003,-2.859,-0.004833301,0.4,0.5799457,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-05,0.64100003,-3.909,-1.7944168,0.8000001,0.34733325,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-06,5.491,-1.5090001,1.091,0.0,0.50830877,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-07,6.541,-4.1089997,0.22641675,0.0,0.5364966,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-08,7.591,-2.809,1.2347502,0.0,0.63036853,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-09,7.491,-2.659,1.0826668,0.0,0.7369674,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-10,7.591,-1.809,1.8368335,0.0,0.63193136,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-11,1.3909999,-3.859,-0.95274997,4.0000005,0.23865308,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-12,-2.2089999,-5.209,-3.7944167,1.9999999,0.8028524,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-13,0.591,-6.209,-3.2777503,3.3,0.4099952,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-14,2.591,-6.309,-1.704833,0.0,0.51486635,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-15,6.691,-3.4589999,0.20349991,0.0,0.58017546,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-16,4.441,-1.959,1.0639167,0.0,0.6012554,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-17,1.6409999,0.291,1.0785,7.1999993,0.19177511,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-18,1.591,-2.909,0.09100002,22.800001,0.29635516,era5
Murska_Sobota,46.6625,16.1667,189,192.0,3.0,1950-01-19,-3.359,-7.209,-5.65275,4.1000004,0.46252832,era5
