location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-01,3.1825,-1.8175001,0.21500002,0.0,0.9435655,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-02,5.3825,-2.5175,0.75124997,0.0,1.0149719,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-03,5.6325,-1.0174999,1.2220833,0.5,0.55731183,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-04,6.9325,-2.0175,1.728333,0.0,0.6500843,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-05,7.1325,-0.61750007,2.0158334,0.0,0.6337879,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-06,6.6825,-0.017500043,2.8616667,0.0,0.33164093,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-07,9.2325,1.2325,5.07625,0.0,0.59178686,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-08,8.4825,-1.0675001,3.0512497,0.0,0.6640193,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-09,4.9825,-0.6675,2.4970834,0.0,0.5203159,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-10,9.1325,1.4325,4.717917,0.0,0.5581765,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-11,9.432501,-0.16750002,3.6970828,0.0,0.62244767,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-12,3.9325,0.6825,2.41375,0.0,0.7556324,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-13,7.9325,-0.9175,2.4679167,0.5,0.71741194,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-14,5.5325,-0.9675,2.3304164,0.0,0.56930184,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-15,8.032499,0.5825,3.9054172,0.0,0.6219454,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-16,5.6825,0.13249993,3.253333,2.8000002,0.28802672,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-17,4.9825,4.0325003,4.4845824,31.9,0.2284167,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-18,4.9325,0.23249996,3.4658337,9.5,0.5227495,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-19,0.8825,-2.3675,-0.7466667,0.5,0.8551892,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-20,3.1325,-0.61750007,1.0866666,1.7,0.98881173,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-21,3.3325,-4.3675,-0.96750003,0.0,0.72261584,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-22,1.4825,-8.717501,-4.805,0.0,0.67585784,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-23,-2.4175,-11.6675,-6.8633327,0.0,0.75913244,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-24,-5.1175,-7.2675004,-6.2237506,0.0,0.8414125,era5
Nova_Gorica,45.9564,13.6431,94,93.0,-1.0,1950-01-25,-0.7674999,-8.467501,-4.9862494,0.0,0.84754515,era5
