location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-01,0.2535001,-2.9494998,-1.857708,0.0,0.7279578,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-02,1.7005,-4.2495003,-1.5807495,0.0,0.7265415,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-03,5.4505005,-2.7495,0.8192499,0.1,0.6388739,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-04,6.5004997,-2.9995,0.69633347,0.1,0.47754923,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-05,2.5505,-2.2995,-0.6161666,0.0,0.4342772,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-06,7.3505,-1.4494998,2.2338333,1.2,0.4410104,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-07,7.7504997,-2.8495,2.3421667,0.5,0.4639176,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-08,8.9005,-1.1494999,2.8380003,0.0,0.6825622,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-09,7.9505005,-2.1994998,2.5713336,0.0,0.71821475,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-10,8.8505,2.1505,4.6546664,0.0,0.61470264,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-11,6.6005,-1.0495,2.735917,1.7,0.46551165,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-12,-0.44949996,-3.3495,-2.0099168,1.5999999,0.65556175,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-13,4.1505003,-3.1495001,-0.55574995,0.1,0.6222031,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-14,7.3505,-2.7495,1.4963332,0.0,0.7320096,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-15,8.5005,-0.99950004,2.5921667,0.0,0.70119023,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-16,7.9005003,-1.5995,3.0484161,0.2,0.58361226,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-17,4.5004997,1.4005,2.9067504,27.900002,0.16509381,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-18,1.7505001,-1.8994999,0.8921667,25.5,0.21885465,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-19,-2.7495,-5.6495,-4.6599164,5.7999997,0.3251088,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-20,-1.9995,-4.4995003,-3.087,7.799999,0.24610437,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-21,-2.8995001,-11.6495,-5.772417,0.0,0.4915154,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-22,-1.0495,-15.3495,-8.4244995,0.1,0.52259463,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-23,-5.9995003,-11.3495,-9.0703335,0.5,0.33298522,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-24,-8.999499,-13.3495,-10.584916,0.1,0.3259016,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-25,-7.1495,-13.4495,-10.370333,0.0,0.4131417,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-26,-1.9494998,-10.749499,-5.880749,0.0,0.5260255,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-27,1.9005,-3.3995001,-1.0536667,5.2,0.3753351,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-28,-2.2495,-4.4995003,-3.7974167,13.799997,0.26053748,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-29,-4.0994997,-8.6995,-7.1744995,21.499998,0.22644892,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-30,-5.2495003,-9.8995,-7.8682513,1.3000001,0.5470541,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-01-31,-6.1495,-14.5494995,-9.7786665,0.0,0.53898525,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-01,-0.49949992,-13.8495,-6.5536656,0.0,0.50502706,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-02,-0.04949999,-5.6495,-3.5349169,0.0,0.65832126,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-03,-2.4995,-6.5994997,-4.832833,0.0,0.4195884,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-04,1.8505001,-5.6495,-1.4765829,0.0,0.33763453,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-05,5.5505,0.35050005,2.9150836,0.2,0.5717995,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-06,7.1005,2.4005,3.8942502,3.0000002,0.755024,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-07,5.0505,0.5005001,2.7004998,2.3999999,0.62810606,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-08,5.6505003,-4.1995,0.8588334,0.1,0.9204583,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-09,3.0505,-2.7995,1.0088333,15.2,0.30167538,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-10,7.0505,-3.8495,1.2880001,0.0,0.98092353,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-11,9.6005,0.45050007,4.515084,0.0,0.9408593,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-12,6.1505003,-3.2994998,2.4088337,10.2,0.5198229,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-13,8.6505,-7.4495,1.954667,0.3,0.95862913,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-14,9.250501,1.4005,4.63175,7.8,0.72046506,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-15,7.0505,-1.2495,2.213,0.0,1.1917989,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-16,12.500501,-3.0995,3.3234167,0.0,1.4930335,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-17,12.4005,-1.2995,5.135917,0.0,1.4865294,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-18,12.1005,-0.99950004,4.802584,0.0,1.5067496,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-19,13.250501,-2.1495,5.233833,0.0,1.5649579,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-20,13.4005,-1.3495,4.6650834,0.0,1.5122408,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-21,11.3005,3.1005,7.0817504,0.6,0.7974277,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-22,10.6005,1.0005001,5.246333,0.0,1.4868432,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-23,9.9505005,-1.2495,3.21925,0.0,1.5992508,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-24,11.1505,-0.99950004,5.3900833,0.0,1.5292195,era5
Novo_Mesto,45.8011,15.17,220,164.0,-56.0,1950-02-25,10.5505,3.9505,7.6005006,0.2,1.0564752,era5
