location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-01,-0.90949994,-3.938,-2.4031875,0.0,0.76722217,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-02,1.212,-5.138,-2.4067497,0.0,0.9077973,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-03,5.4119997,-1.888,0.5161667,0.0,1.0282274,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-04,5.4119997,-2.988,0.016166678,0.0,0.5533868,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-05,1.112,-3.438,-1.5796667,0.2,0.38249198,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-06,6.562,-2.0379999,1.8161668,0.0,0.57858145,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-07,7.4119997,-4.3380003,0.87033314,0.0,0.55110323,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-08,8.212,-2.138,1.4224166,0.0,0.6501895,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-09,7.712,-2.438,1.4703332,0.0,0.8315267,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-10,8.162,-1.4879999,2.6786664,0.0,0.6528892,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-11,3.062,-2.988,0.7224166,2.6000001,0.2346141,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-12,-1.688,-4.638,-3.288,1.9000002,0.6866952,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-13,2.612,-4.2380004,-2.0463336,1.4000001,0.54199535,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-14,5.612,-3.688,0.078666605,0.0,0.68050885,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-15,7.7619996,-2.238,1.2515832,0.0,0.6631042,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-16,7.6619997,-3.138,1.7661667,0.0,0.7442171,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-17,3.312,0.76199996,1.8432502,12.4000025,0.16307679,era5
Ptuj,46.4197,15.8697,228,235.0,7.0,1950-01-18,1.362,-1.388,0.52241665,23.800001,0.23326899,era5
