location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-01,-4.6195,-12.6695,-8.519105,0.0,0.39755762,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-02,-0.8694999,-14.619499,-8.057,0.0,0.6353379,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-03,0.7305,-5.2195,-3.1132505,1.1,0.68856776,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-04,0.23049998,-7.4694996,-3.9674165,0.0,0.47785267,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-05,0.5805,-6.6195,-3.2903335,0.9000001,0.4367238,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-06,0.030500054,-5.8195,-2.1111665,0.0,0.31240726,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-07,2.9305,-5.8195,-1.2882499,0.0,0.50256735,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-08,3.4805,-7.0195,-2.0111668,0.0,0.57794577,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-09,1.0305,-3.3195,-1.8945001,0.0,0.6986743,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-10,4.2805,-4.4695,-0.41116664,0.0,0.58462256,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-11,4.1805,-2.4194999,0.8721667,0.2,0.5000337,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-12,0.78050005,-5.2195,-2.7549164,2.7000003,0.3369447,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-13,2.1305,-5.3195,-2.2611668,0.0,0.58962107,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-14,1.4305,-4.6695,-2.1694999,0.0,0.5506163,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-15,5.0305,-2.8195,0.29300013,0.0,0.59852254,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-16,0.7305,-4.0695,-1.0653335,0.8,0.4173435,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-17,0.6305001,-0.96950006,-0.17366664,18.300001,0.22022569,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-18,-0.8694999,-3.9194999,-1.6528333,9.100001,0.2878802,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-19,-4.1195,-9.0695,-5.9965835,1.1,0.47208154,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-20,-1.3195,-7.1695004,-4.9361663,1.5000001,0.35063657,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-21,-2.8195,-8.7695,-5.377834,0.0,0.49500722,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-22,-4.8695,-10.8695,-7.5174174,0.0,0.48921263,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-23,-8.5695,-14.9695,-11.86325,0.0,0.3683988,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-24,-10.6695,-17.0695,-13.965333,0.0,0.3367756,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-25,-7.2194996,-15.0695,-11.036166,0.0,0.44395068,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-26,0.23049998,-8.8695,-3.9903343,0.0,0.53059435,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-27,2.0305,-1.2695,0.31591666,3.4000003,0.4942381,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-28,0.5805,-5.1195,-1.5132499,9.500001,0.33984727,era5
Ratece,46.4967,13.7131,864,866.0,2.0,1950-01-29,-5.4195,-7.9694996,-6.8382506,8.4,0.29968232,era5
