location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-01,1.8975,-3.9025,-1.4772707,0.0,0.71947455,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-02,5.6975,-4.5525,-0.14624988,0.1,0.93138,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-03,5.2975,-1.0024998,0.86833334,0.5,0.70451784,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-04,6.7475004,-1.9525001,1.3975002,0.0,0.70390654,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-05,6.4475,-1.5024998,1.8454169,0.2,0.6252719,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-06,5.5475,-0.0024998188,2.62875,0.0,0.36562145,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-07,8.7475,-0.45249987,3.96,0.0,0.6445666,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-08,9.7475,-0.10249996,3.989167,0.0,0.7716819,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-09,5.1475,1.5975001,3.1183336,0.0,0.6669464,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-10,10.8975,1.9475001,5.2245836,0.0,0.7009041,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-11,10.1475,1.0475001,4.3016667,0.0,0.6575489,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-12,3.0975,0.19749999,1.4287502,0.9000001,0.4719133,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-13,8.0975,-0.9024999,2.5412502,0.70000005,0.76086444,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-14,5.6975,-0.45249987,2.39125,0.0,0.65491945,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-15,9.7475,0.9975002,4.635,0.0,0.7296881,era5
Tolmin,46.1858,13.7317,194,207.0,13.0,1950-01-16,4.8475,2.5975,3.7870834,2.6,0.37834916,era5
