location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-01,-0.42049998,-4.4705,-2.640625,0.0,0.58657634,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-02,1.4295001,-5.7205,-2.0246665,0.1,0.8178014,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-03,5.1295,-2.6204998,0.17950003,0.1,0.9400962,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-04,5.4295,-3.1704998,-0.014249901,0.0,0.62764704,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-05,1.6795001,-3.0205,-1.0538331,0.0,0.4121064,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-06,5.6795,-1.5205,1.4190836,0.0,0.48898605,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-07,6.8795,-4.0204997,1.1628335,0.0,0.5702808,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-08,8.129499,-1.3704998,1.817,0.0,0.74974126,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-09,6.2795,-1.3704998,1.8607501,0.0,0.7746099,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-10,8.8295,0.67950004,4.150333,0.0,0.6802899,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-11,5.7795,-1.4204998,1.9711666,1.0,0.42934477,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-12,-1.0704999,-3.1704998,-2.25175,2.5,0.46254992,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-13,4.6795,-3.3705,-0.19133331,0.1,0.647992,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-14,5.8295,-2.7205,1.1586668,0.0,0.7540792,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-15,7.9295,-0.9205,2.8649168,0.0,0.6459268,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-16,6.2795,-1.9705,1.9565831,0.2,0.60496134,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-17,2.3795002,0.92950004,1.7107501,17.700003,0.16793373,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-18,1.6795001,-2.3704998,0.7315834,14.1,0.2630779,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-19,-2.7205,-8.5205,-5.1225834,2.6000001,0.3598826,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-20,-1.4204998,-4.5705,-2.9850833,3.4999998,0.27173883,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-21,-1.7705,-11.620501,-5.8100834,0.0,0.48872995,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-22,-1.5205,-17.370499,-10.107999,0.1,0.44730303,era5
Trbovlje,46.1511,15.0511,230,304.0,74.0,1950-01-23,-5.9205,-16.2705,-10.91425,0.0,0.36899173,era5
