location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration,source
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-01,-1.0215,-6.2215,-3.688062,0.0,0.5439534,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-02,1.2785,-8.5715,-3.4881656,0.1,0.78404623,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-03,4.8785,-2.7715,-0.3006667,0.1,0.9095627,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-04,4.8785,-3.3715,-0.4923334,0.0,0.5640938,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-05,1.6285,-4.2715,-1.7548336,0.0,0.3934894,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-06,4.9285,-3.3715,0.23266669,0.0,0.45917195,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-07,6.7785,-4.7215,0.67224985,0.0,0.55391324,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-08,8.3285,-2.4715,1.3680836,0.0,0.7283361,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-09,5.7785,-2.1215,0.91183335,0.0,0.84743255,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-10,9.1285,-1.4215001,3.4285,0.0,0.69629484,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-11,5.4785,-2.0714998,1.7493334,1.0,0.4072197,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-12,-1.8215,-4.2715,-3.2194169,2.5,0.39608142,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-13,5.3785,-4.5715003,-0.30691668,0.1,0.6344266,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-14,5.2785,-3.6715002,0.28266668,0.0,0.7264498,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-15,7.9785,-1.2715,2.4660003,0.0,0.64107525,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-16,5.7785,-2.6215,1.1430832,0.2,0.59116817,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-17,2.6285,0.9785,1.5576667,17.700003,0.16700262,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-18,1.5285001,-2.8215003,0.27850002,14.1,0.23968826,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-19,-3.4215002,-8.8715,-5.261083,2.6000001,0.33807525,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-20,-1.5715,-5.1715,-3.4194167,3.4999998,0.24531496,era5
Velenje,46.3592,15.1119,405,391.0,-14.0,1950-01-21,-2.0714998,-9.7715,-5.2485833,0.0,0.47156438,era5
