year,total,enteric_fermentation,manure_management,rice_cultivation,agricultural_soils,prescribed_burning_of_savannas,field_burning_agricultural_residues,liming,urea_application,carbon_containing_fertilizers,other
1986,2038.447456990076,1115.649774207144,447.5732184902475,,418.2143832520235,,,44.0,9.08689545739129,3.92318558326934,
1987,2046.052587222948,1094.411722618398,452.9897313075099,,439.5561309424326,,,44.0,10.58629887811593,4.5087034764915,
1988,2010.049887814222,1088.129495036329,444.7293163988921,,419.3012591420261,,,44.0,9.78028638144927,4.10953085552533,
1989,1973.00837734127,1083.65446158653,436.6554338098041,,396.684087895523,,,44.0,8.49318262434783,3.52121142506467,
1990,1960.068785847821,1063.915991345167,442.8514239518415,,397.0880539267612,,,44.0,8.66734412898549,3.545972495065,
1991,1834.792305529219,1001.597680341271,415.2340875436075,,363.2085294306941,,,44.0,7.65943802927536,3.09257018437033,
1992,1954.781140960901,1020.858392802735,433.123323844393,,439.0594249847957,,,44.0,12.68491690782608,5.05508242115067,
1993,1846.396794055564,974.5751055965943,412.0434965693123,,400.471009598383,,,44.0,10.9857200742029,4.321462217072,
1994,1859.429503680643,980.3900496806996,410.4208432507924,,409.0485374648179,,,44.0,11.17534,4.39473328433333,
1995,1856.494582757377,1021.990074840394,382.1579319731063,,407.4078080851813,,,28.66512,12.26978260869565,4.00386525,
1996,1783.434595119798,989.2795173858411,362.6794438111023,,393.7718922779271,,,23.80356,9.7963768115942,4.10380483333333,
1997,1732.607924387543,934.2058779103202,362.7824277602041,,404.7800368909316,,,14.8126,11.67434782608696,4.352634,
1998,1770.963497004401,952.1823326458926,371.0022929480015,,414.2874022510867,,,17.2678,11.74768115942029,4.475988,
1999,1784.157432316439,991.7953222858534,341.8785671479067,,415.7908987522439,,,18.65072,11.62173913043478,4.420185,
2000,1871.157218660298,1049.890044063107,363.2024848338872,,424.68935142997,,,17.17056,11.84333333333333,4.361445,
2001,1845.226625288445,1029.091322871097,360.4923677654069,,422.6073798620862,,,16.55588,12.03942028985507,4.4402545,
2002,1900.852660739891,1057.160932637948,381.9751425278613,,429.7154420072696,,,14.78444,12.9672463768116,4.24945719,
2003,1808.511290997384,999.5627482335838,363.5542873837818,,411.886872863352,,,16.016,12.90305426666667,4.58832825,
2004,1761.618141619746,994.1237299823987,345.554164847468,,393.5394985165453,,,13.76804,10.75992133333334,3.87278694,
2005,1769.143133415147,1004.829314186717,347.567981030466,,387.6785705912972,,,13.56036,11.65174266666667,3.85516494,
2006,1767.715370379963,999.1805531522181,346.6536563878711,,393.16917438654,,,13.88244,11.08557633333333,3.74397012,
2007,1825.113901569189,1041.90792336144,359.987430286322,,395.8464619347612,,,12.52284,10.52198766666667,4.32725832,
2008,1748.470642326046,1017.625544051278,341.5381528777924,,366.4200099336428,,,12.18052,7.40555053333333,3.30086493,
2009,1758.229839646414,1003.327438946733,343.5390117169157,,381.1246940860984,,,12.83788,13.48053666666667,3.92027823,
2010,1726.443890609153,989.452778205477,333.4483872263266,,375.7081750383488,,,12.90432,11.1023,3.827930139,
2011,1708.42639965658,989.5649058436971,325.2485687781341,,368.8326550550825,,,10.91244,9.61667226666667,4.251157713,
2012,1692.620869818552,984.9144284935007,317.6849503464584,,363.0226648385928,,,12.05424,11.2409704,3.70361574,
2013,1678.915596273104,974.8582356819121,317.6266650719926,,360.0510617258658,,,11.85492,10.34953333333334,4.17518046,
2014,1721.452283447518,993.484094223738,323.1671870877916,,379.4992426126549,,,11.10868,9.42377333333333,4.76930619,
2015,1763.610101907941,1024.612035818532,334.4469081088316,,380.286455100577,,,10.78,8.74368,4.74102288,
2016,1782.434835920687,1037.970137170018,341.5652942913345,,378.5456258526684,,,10.53932,9.45706666666667,4.35739194,
2017,1749.117983720161,1017.383679379229,338.3828943419072,,370.2852108763913,,,10.25816,8.30133333333333,4.5067057893,
2018,1748.929298173952,1010.879460646789,337.7063064201145,,373.9876401170486,,,11.62744,10.516,4.21245099,
2019,1768.627419686267,1023.485162101747,338.3677240751286,,378.5922765127253,,,12.98352,10.3876666666667,4.81107033,
2020,1773.361771848206,1024.667132737476,335.8545227249512,,382.2203322824454,,,14.4738,11.7927333333333,4.35325077,
2021,1773.733925238289,1021.758064833655,335.8166810137178,,387.2692746475824,,,15.21916,9.43873333333334,4.23201141,
2022,1706.324827020979,984.8949985044593,319.7200585341434,,369.0703826157091,,,21.04696,8.38786666666667,3.2045607,
