year,total
1986,2763.2534105070845
1987,2715.707776721895
1988,2666.9388070020946
1989,2644.3950517987746
1990,2581.3332647822244
1991,2450.1952773500516
1992,2494.406581187148
1993,2457.021603945134
1994,2540.03494761326
1995,2565.0905169570965
1996,2615.6920146265625
1997,2713.2583102808385
1998,2774.7764084160744
1999,2525.2831064845464
2000,2580.660423659463
2001,3202.260741443397
2002,2687.734227229144
2003,2944.888158141454
2004,2724.9142347809975
2005,3319.0943153807993
2006,2921.1788752981547
2007,3228.0812138624883
2008,3420.8784011508883
2009,3183.20658967505
2010,3307.9786189304427
2011,3281.2196895705415
2012,3220.9682889883215
2013,3368.4004106041157
2014,2952.3360145681568
2015,3206.9705256223933
2016,3181.36449430071
2017,3094.106076259811
2018,2955.3803508760707
2019,2772.748657637351
