year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,international_aviation,international_navigation,co2_emissions_from_biomass,others,lulucf
1986,20638.49415171284,6839.584931512761,4123.771062570394,2051.166745485325,1585.933758473278,2611.850486393282,2038.447456990076,697.0143014805516,58.52633529007999,,2763.253410507084,690.7254088071769,-4775.24461023306
1987,19893.94632979449,6479.014571722495,3683.344077437537,2424.905717323991,1566.676758795625,2321.062169688189,2046.052587222948,720.7217770527665,59.285439864,,2715.707776721895,652.1686705509393,-4788.873211902914
1988,19358.5273230838,6565.962868148269,3537.613169383786,2454.530512437749,1465.450872306664,1921.097400043078,2010.049887814222,742.3757368213285,54.266566648,,2666.938807002095,661.4468761286982,-4734.988905914305
1989,19131.50519677815,6672.40574559583,3327.408831908047,2484.697983639161,1410.682358433192,1838.837337070249,1973.00837734127,763.601452334993,51.129770888,,2644.395051798775,660.8631104554107,-4658.284449437425
1990,18802.39945278412,6374.256164026105,3095.079336341303,2737.214670665915,1367.946774505304,1905.615208824076,1960.068785847821,769.2782538072505,49.247693432,,2581.333264782224,592.9402587663468,-4379.423795468108
1991,17446.78168487474,5429.990620745599,3076.268263644442,2593.352947165686,1057.088442372029,2162.975152188971,1834.792305529219,763.2042067961079,21.330211168,,2450.195277350052,529.10974643269,-4732.202478598209
1992,17434.77845142036,5963.136804388574,2585.674246989111,2635.303371602473,1047.392027769271,1947.811368801154,1954.781140960901,727.783196882024,33.7519223776,,2494.406581187147,572.896294026852,-4848.175615385426
1993,17675.70878521189,5753.260292747505,2517.66998620219,3185.122442696496,874.7093920685608,2266.365925006984,1846.396794055564,706.3913722293806,48.1811828736,,2457.021603945134,525.7925802052058,-4848.161768487961
1994,18080.75444339557,5535.270862378647,2681.000912985214,3569.722547495825,1051.255453222576,2168.596821817355,1859.429503680643,710.6134915507912,53.8274152416,,2540.03494761326,504.86485026452056,-5034.436416973947
1995,18857.18428912514,5724.178485931714,2630.490154748148,3988.901853135989,1056.452558740726,2353.576647341195,1856.494582757377,714.1152938454561,57.5915701536,,2565.090516957096,532.9747126245318,-5119.542443902237
1996,19445.62960958492,5326.836249765965,2521.369797655697,4530.085637729284,1057.936738644809,2991.693767629738,1783.434595119798,720.9808292121182,53.23142404719999,,2615.692014626562,513.2919938275109,-5695.484790625811
1997,19986.37085935847,5746.74418713382,2300.399657864835,4737.766747315859,1098.307760373769,3057.761153011176,1732.607924387543,763.5849530728641,56.07336100576,,2713.258310280838,549.1984761986038,-5909.383817196399
1998,19575.04898970508,5986.066005531988,2281.479258241734,3939.920896467887,1075.412925243019,3180.246369034387,1770.963497004401,793.3401430406585,50.110312266,,2774.776408416074,547.6198951410062,-6055.523369552434
