year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
1986,16317.09847029511,15667.77876551993,6839.584931512761,4123.771062570394,2051.166581011497,2611.850486393283,41.405704032,649.3197047751769,601.8705371851977,47.44916758997924,
1987,15560.49505791214,14940.3217041132,6479.014571722495,3683.344077437537,2424.905568512975,2321.062169688189,31.995316752,620.1733537989393,570.1772723470576,49.99608145188164,
1988,15140.65068019954,14511.19912082284,6565.962868148269,3537.613169383786,2454.530366495709,1921.097400043078,31.995316752,629.4515593766982,566.171526876676,63.28003250002229,
1989,14984.21287200136,14355.34507829795,6672.40574559583,3327.408831908047,2484.697846971827,1838.837337070248,31.995316752,628.8677937034107,563.1688184888329,65.69897521457773,
1990,14705.10550981868,14144.16056780433,6374.256164026105,3095.079336341303,2737.214541860846,1905.615208824076,31.995316752,560.9449420143468,504.7155231950446,56.22941881930224,
1991,13791.69661805285,13269.48782229216,5429.990620745599,3076.268263644442,2593.352835041149,2162.97515218897,6.900950672,522.20879576069,469.8077163521606,52.40107940852938,
1992,13704.82720745935,13133.3111035669,5963.136804388574,2585.674246989111,2635.30849325366,1947.811368801155,1.3801901344,571.5161038924521,528.1834953546933,43.33260853775872,
1993,14243.18268150757,13718.77029143676,5753.260292747505,2512.636429858072,3185.127453689799,2266.365925006984,1.3801901344,524.4123900708058,482.5482089982125,41.86418107259329,
1994,14459.45299048117,13955.96833035105,5535.270862378647,2681.000912985214,3569.719543035433,2168.596821817355,1.3801901344,503.4846601301206,461.3354011008279,42.14925902929271,
1995,15230.10880037826,14698.51427788813,5724.178485931714,2630.490154748148,3988.888799732674,2353.576647341195,1.3801901344,531.5945224901318,481.118944636361,50.4755778537708,
1996,15883.25221963124,15371.34041593813,5326.836249765965,2521.369797655697,4530.06041075233,2991.693767629738,1.3801901344,511.9118036931108,464.2306720638434,47.68113162926742,
1997,16391.84139247148,15844.02310640728,5746.74418713382,2300.399657864836,4737.73791826305,3057.761153011176,1.3801901344,547.8182860642038,496.6079981129363,51.21028795126744,
1998,15935.30876474388,15390.38651395648,5986.066005531988,2281.479258241734,3939.897236794766,3180.246369034387,2.6976443536,544.9222507874061,493.6626068566978,51.25964393070835,
1999,15256.02663875502,14735.01941846004,5287.450142308858,2296.362495422368,3729.689672076353,3418.631256553266,2.8858520992,521.0072202949723,468.1998042714936,52.80741602347864,
2000,14873.70653373447,14358.87235993313,5592.95776023007,2293.438728812481,3676.079143435267,2793.322667610508,3.0740598448,514.8341738013456,461.1495112412387,53.68466256010702,
2001,16097.04598985951,15590.68018037227,6310.543241615683,2212.708519097478,3837.127046627688,3227.039105441017,3.2622675904,506.3658094872396,451.5454401674986,54.82036931974106,
