year,total,road_transporation.total,road_transporation.cars,road_transporation.light_duty_trucks,road_transporation.heavy_duty_trucks,road_transporation.buses,road_transporation.motorcycles,road_transporation.other,railways,domestic_aviation,domestic_navigation,other_transportation,international_aviation,international_navigation
1986,2052.01,1974.40,1381.77,46.03,405.53,88.07,10.09,0.00,76.99,0.61,0.01,0.00,58.53,0.00
1987,2425.70,2348.95,1684.34,46.23,452.17,96.82,9.39,0.00,76.33,0.41,0.01,0.00,59.29,0.00
1988,2455.37,2381.01,1652.81,46.77,490.19,104.97,9.05,0.00,73.76,0.59,0.01,0.00,54.27,0.00
1989,2485.49,2409.69,1710.06,48.78,477.56,97.67,8.53,0.00,74.95,0.83,0.01,0.00,51.13,0.00
1990,2738.06,2664.20,1850.36,48.28,545.65,105.61,8.02,0.00,72.77,1.08,0.01,0.00,49.25,0.00
1991,2594.28,2512.40,1738.68,50.13,525.11,95.64,7.53,0.00,81.26,0.61,0.01,0.00,21.33,0.00
1992,2635.74,2580.15,1913.98,49.98,468.90,73.25,5.25,0.00,54.61,0.97,0.01,0.00,33.75,0.00
1993,3186.64,3138.68,2301.72,61.19,591.82,88.30,5.18,0.00,46.23,1.73,0.01,0.00,48.18,0.00
1994,3573.46,3524.66,2575.94,72.72,665.43,95.49,5.23,0.00,46.76,2.03,0.01,0.00,53.83,0.00
1995,3995.36,3944.57,2798.25,89.40,803.17,106.14,5.30,0.00,48.79,1.98,0.02,0.00,57.59,0.00
1996,4538.46,4490.85,3142.05,99.34,931.99,113.34,5.46,0.00,45.38,2.21,0.02,0.00,53.23,0.00
1997,4746.68,4700.32,3155.92,120.00,1059.34,123.41,5.73,0.00,43.98,2.37,0.02,0.00,56.07,0.00
1998,3947.57,3901.66,2791.54,124.51,785.72,88.77,6.11,0.00,42.97,2.93,0.02,0.00,50.11,0.00
1999,3737.61,3692.88,2751.16,136.96,695.19,75.82,6.46,0.00,41.88,2.83,0.02,0.00,60.09,0.00
2000,3684.48,3638.99,2852.49,142.68,605.70,61.87,7.15,0.00,42.64,2.84,0.01,0.00,69.29,0.00
2001,3846.19,3802.24,2862.73,156.66,685.07,68.31,7.48,0.00,41.62,2.32,0.02,0.00,78.46,0.00
2002,3908.14,3862.00,2847.49,195.08,770.76,74.62,7.73,0.00,43.82,2.31,0.02,0.00,80.88,0.00
2003,3957.73,3914.19,2863.85,197.40,776.55,72.94,6.65,0.00,41.14,2.37,0.02,0.00,77.11,0.00
2004,4136.23,4092.60,2824.38,233.25,905.60,87.99,6.25,0.00,41.74,1.87,0.03,0.00,57.68,0.00
2005,4405.48,4360.93,2911.07,234.95,977.08,91.47,7.43,0.00,41.78,2.74,0.03,0.00,61.35,68.75
2006,4641.66,4598.02,3059.97,242.43,1108.09,88.02,8.97,0.00,41.60,2.01,0.03,0.00,71.04,94.19
2007,5244.80,5202.19,3358.71,317.74,1314.88,102.29,15.50,0.00,40.36,2.22,0.04,0.00,93.58,158.56
2008,6164.62,6123.25,3878.51,424.83,1453.67,125.50,18.73,0.00,37.10,2.08,0.05,2.14,103.95,213.84
2009,5162.46,5125.78,3415.66,365.31,1213.47,92.11,20.97,0.00,31.23,1.98,0.04,3.43,77.91,105.20
2010,5303.33,5263.45,3597.07,410.09,1202.03,97.62,22.21,0.00,33.42,1.97,0.04,4.44,73.30,60.02
2011,5654.14,5615.36,3807.09,454.57,1286.28,109.73,22.67,0.00,35.11,2.77,0.05,0.84,68.80,105.81
2012,5673.12,5636.34,3771.01,463.01,1323.53,113.53,22.83,0.00,33.27,2.30,0.05,1.16,66.33,163.73
2013,5372.39,5335.91,3572.02,435.86,1248.71,110.62,22.90,0.00,34.26,1.73,0.03,0.47,73.07,202.00
2014,5388.82,5340.16,3544.41,436.42,1269.28,118.66,23.58,0.00,44.96,1.87,0.03,1.80,72.11,186.17
2015,5359.34,5313.04,3512.15,432.22,1292.04,117.97,24.63,0.00,41.30,1.98,0.05,2.98,74.72,208.41
2016,5733.06,5693.57,3723.24,489.65,1433.62,127.84,25.72,0.00,34.60,2.03,0.04,2.83,61.05,400.15
2017,5862.80,5824.14,3760.85,501.87,1510.80,137.01,27.18,0.00,32.26,1.72,0.04,4.65,74.24,504.37
2018,5841.70,5809.46,3749.30,496.06,1533.74,127.33,26.96,0.00,29.36,2.01,0.05,0.81,102.20,733.93
2019,5631.52,5602.92,3599.51,475.04,1461.36,127.23,31.08,0.00,25.92,1.97,0.09,0.62,77.83,618.98
2020,4581.00,4559.33,2767.96,403.69,1533.74,127.33,27.03,0.00,19.10,1.58,0.09,0.91,26.16,381.90
2021,5211.61,5185.94,3230.10,493.67,1461.36,127.23,26.28,0.00,23.09,1.64,0.07,0.87,26.78,282.85
