year,international_bunkers.total,international_bunkers.aviation,international_bunkers.navigation,multilateral_operations,co2_emissions_from_biomass,co2_captured,longerim_storage_waste_disposal,indirect_n20,indirect_co2
1986,58.52633529007999,58.52633529007999,,,2763.253410507084,,771.4411263933167,,
1987,59.285439864,59.285439864,,,2715.707776721895,,845.193798472615,,
1988,54.266566648,54.266566648,,,2666.938807002095,,920.0722761564153,,
1989,51.129770888,51.129770888,,,2644.395051798775,,1004.875547722986,,
1990,49.247693432,49.247693432,,,2581.333264782224,,1083.547717048336,,
1991,21.330211168,21.330211168,,,2450.195277350052,,1143.041467077676,,
1992,33.7519223776,33.7519223776,,,2494.406581187148,,1207.439486090485,,
1993,48.1811828736,48.1811828736,,,2457.021603945134,,1273.920273917642,,
1994,53.8274152416,53.8274152416,,,2540.03494761326,,1350.332846765021,,
1995,57.5915701536,57.5915701536,,,2565.090516957096,,1458.643283213851,,
1996,53.23142404719999,53.23142404719999,,,2615.692014626562,,1574.47009425563,,
1997,56.07336100576,56.07336100576,,0.1882077456,2713.258310280838,,1685.297204380083,,
1998,50.110312266,50.110312266,,0.2509436608,2774.776408416074,,1803.456722452347,,
1999,60.0853227828,60.0853227828,,0.3764154912,2525.283106484546,,1923.383600869848,,
2000,69.29181833839998,69.29181833839998,,0.5018873216,2575.590017483463,,2036.753484577661,,
2001,78.456437670604,78.456437670604,,0.5646232368,3193.632386139397,,2143.689856268149,,
2002,80.8828432948368,80.8828432948368,,0.5646232368,2679.878737693144,,2268.718699587529,,
2003,77.10949757126,77.10949757126,,0.627359152,2941.747116093454,,2384.769955137208,,
2004,57.68206671127599,57.68206671127599,,0.627359152,2721.692259809265,,2483.896318704209,,
2005,130.1018402728405,61.35096027284055,68.75088,0.4391514064,3314.753672204088,,2587.179504259957,,
2006,165.2282532234222,71.03642258342224,94.19183064,0.4391514064,2921.129019623484,,2697.560523634869,,
2007,252.1417245857972,93.57875750579718,158.56296708,0.4391514064,3228.117521983291,,2803.407564529651,,
2008,317.7931200733996,103.9516109656337,213.8415091077658,0.45336353350185,3420.92206566185,,2909.718235525344,,
2009,183.1072757538918,77.90854610238785,105.198729651504,0.41733787774039,3183.176196831102,,2999.414486155329,,
2010,133.3194846624259,73.30380834660184,60.015676315824,0.37799720038569,3308.009876160381,,3062.726892404047,,
2011,174.6050354154622,68.79743109546216,105.80760432,0.45350804317425,3259.362510928594,,3124.034727740583,,
2012,230.057774146217,66.32778474167776,163.7299894045392,0.16937895338922,3191.752803537688,,3168.244498023381,,
2013,275.0656621099503,73.06932658995032,201.99633552,0.43752423952087,3347.523753171223,,3200.03161908775,,
2014,258.2737319324912,72.10723682560494,186.1664951068863,0.54429113710536,2938.418415822274,,3217.742753312628,,
2015,283.1288982651648,74.71998066516478,208.4089176,0.51224502119952,3225.390548023006,,3246.542476289807,,
2016,461.205569182848,61.050828517728,400.1547406651201,0.51198792941816,3210.383605733491,,3248.879582311607,,
2017,578.6084390253325,74.2428269781324,504.3656120472,0.56983972814888,3146.276518758636,,3248.938136509507,,
2018,836.1308150316896,102.2011785540895,733.9296364776002,0.5519819498872,3025.182417063031,,3248.940215655808,,
2019,696.8074139656737,77.8290565610337,618.97835740464,0.61045495964936,2988.241796899712,,3248.942212244907,,
2020,408.0597049132398,26.15753281411984,381.90217209912,0.43560996398696,2933.152090211246,,3248.97550392129,,
2021,309.6279725062759,26.77814785523584,282.84982465104,0.64359834364952,3221.574772124262,,3248.981770644871,,
