year,total,solid_waste_disposal,biological_treatment_solid_waste,incineration_open_burning_waste,waste_water_treatment_discharge,other
1986,697.0143014805516,327.4582227713303,,2.00219394735,367.5538847618712,
1987,720.7217770527665,351.683959632164,,2.00219394735,367.0356234732525,
1988,742.3757368213285,375.6691751385667,,2.00219394735,364.7043677354118,
1989,763.601452334993,397.9252063995174,,2.00219394735,363.6740519881257,
1990,769.2782538072505,417.6815619839934,,2.00219394735,349.5944978759071,
1991,763.2042067961079,425.0790884300948,,2.00219394735,336.122924418663,
1992,727.783196882024,413.4841606050669,,2.00219394735,312.296842329607,
1993,706.3913722293806,405.4373051213399,,2.00219394735,298.9518731606906,
1994,710.6134915507912,399.9973215174989,,1.19927011464,309.4168999186523,
1995,714.1152938454561,395.304806113222,,0.65839015692,318.1520975753141,
1996,720.9808292121182,417.9745355856008,,0.95564839941,302.0506452271074,
1997,763.5849530728641,454.1725595904359,,0.30745256937,309.1049409130582,
1998,793.3401430406585,480.5400639812749,,0.94574281615,311.8543362432336,
1999,816.3538183175452,507.3233933537566,,2.58372354039,306.4467014233986,
2000,850.2182856801645,531.9135890886342,,3.16312790109,315.1415686904404,
2001,865.9655255514695,545.119931703841,,3.0910758711,317.7545179765286,
2002,857.7525163070407,546.3865906058876,5.5388213828,2.58876425474,303.238340063613,
2003,871.6309642708972,555.1961943510777,5.5846022344,3.71548227358,307.1346854118394,
2004,866.2810156056713,561.7815788431832,4.1031892714,3.43990682777235,296.9563406633158,
2005,827.9027641590042,545.6047551641896,2.6217763084,3.32357761042075,276.3526550759938,
2006,775.6254029118553,508.3047655091272,2.025877006,4.03645829018375,261.2583021065444,
2007,716.7224079639008,466.8571404320525,2.6105636338,4.9792374730449,242.2754664250035,
2008,642.0948847641656,397.3566335452566,3.1952502616,5.23028613599215,236.3127148213169,
2009,586.1952725208504,340.6036289753639,4.02054638,6.4687386255344,235.1023585399521,
2010,574.1035812810715,334.8230814629895,4.6834449844,7.3699725920507,227.2270822416312,
2011,585.7398386042307,346.5300686662083,8.7383137892,7.4241347646232,223.0473213841993,
2012,572.8365611917018,340.0950644091482,8.6044802492,7.70441035737225,216.4326061759813,
2013,551.3756821333326,319.2610815759235,11.627359268,17.223713533925,203.2635277554841,
2014,518.8798034899646,280.6703102530729,12.36132688,20.39241239723785,205.4557539596538,
2015,531.732547142378,286.1724430699355,12.7075324648,27.41278452315895,205.4397870844836,
2016,539.9148004035252,304.0933602454448,13.0568233416,23.6584115825636,199.1062052339168,
2017,521.7982415223353,292.6048380212519,17.184216,27.55401653320321,184.4551709678803,
2018,482.2445269656899,262.0958643136688,18.6799768,20.74761022275208,180.7210756292691,
2019,463.2161402311273,242.4625010546043,19.1569343204,20.63326308964133,180.9634417664817,
2020,440.1147896079996,218.762449492265,19.8652768,19.67186202669084,181.8152012890438,
2021,418.8451449858387,197.403278876491,23.0596364184,14.013941837394,184.3682878535537,
2022,380.2160669525842,176.4784256639466,19.060502,14.038479690308,170.6386595983297,
