year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,464.71,13106.88,4518.06,1663.84,387.28,5724.49,1207.28,-178.67,1200.49,1737.51
2021,442.83,13056.31,4492.23,1664.27,387.88,5752.22,1194.94,-165.66,1147.58,1737.77
2022,420.96,13005.74,4466.41,1664.70,388.47,5779.95,1182.61,-152.65,1094.68,1738.03
2023,399.09,12955.17,4440.58,1665.13,389.07,5807.67,1170.28,-139.64,1041.78,1738.29
2024,377.22,12904.60,4414.76,1665.56,389.66,5835.40,1157.94,-126.63,988.87,1738.55
2025,355.35,12854.03,4388.93,1665.99,390.25,5863.13,1145.61,-113.63,935.97,1738.80
2026,336.66,12574.36,4199.71,1654.24,376.73,5824.92,1129.71,-103.11,895.49,1739.36
2027,317.97,12294.69,4010.50,1642.49,363.20,5786.70,1113.81,-92.59,855.01,1739.92
2028,299.28,12015.02,3821.28,1630.73,349.67,5748.48,1097.91,-82.07,814.52,1740.48
2029,280.59,11735.35,3632.07,1618.98,336.15,5710.26,1082.01,-71.55,774.04,1741.03
2030,261.91,11455.68,3442.85,1607.23,322.62,5672.04,1066.11,-61.03,733.56,1741.59
2031,253.59,10744.38,2941.64,1593.37,324.43,5510.25,1054.96,-59.57,699.12,1740.37
2032,245.28,10033.08,2440.42,1579.51,326.24,5348.46,1043.81,-58.11,664.68,1739.15
2033,236.97,9321.77,1939.21,1565.65,328.06,5186.67,1032.66,-56.65,630.25,1737.93
2034,228.65,8610.47,1438.00,1551.78,329.87,5024.88,1021.51,-55.19,595.81,1736.71
2035,220.34,7899.17,936.78,1537.92,331.68,4863.09,1010.36,-53.74,561.38,1735.49
2036,214.17,7609.87,905.31,1495.16,322.19,4671.46,902.87,-58.04,537.94,1734.52
2037,207.99,7320.56,873.83,1452.40,312.69,4479.83,795.37,-62.35,514.50,1733.55
2038,201.82,7031.26,842.35,1409.64,303.20,4288.20,687.87,-66.66,491.07,1732.58
2039,195.64,6741.95,810.87,1366.88,293.70,4096.57,580.37,-70.96,467.63,1731.61
2040,189.47,6452.65,779.40,1324.12,284.21,3904.94,472.87,-75.27,444.20,1730.64
2041,184.76,6169.25,764.96,1293.84,290.07,3684.66,472.23,-83.06,425.79,1729.83
2042,180.05,5885.85,750.53,1263.56,295.93,3464.38,471.59,-90.85,407.39,1729.02
2043,175.34,5602.46,736.10,1233.28,301.79,3244.11,470.96,-98.65,388.98,1728.21
2044,170.63,5319.06,721.66,1203.00,307.65,3023.83,470.32,-106.44,370.58,1727.40
2045,165.92,5035.67,707.23,1172.72,313.51,2803.55,469.69,-114.23,352.17,1726.59
2046,162.36,4695.86,669.20,1082.35,312.28,2606.68,470.01,-120.88,337.63,1725.98
2047,158.79,4356.06,631.17,991.99,311.04,2409.81,470.34,-127.53,323.09,1725.38
2048,155.22,4016.25,593.14,901.63,309.81,2212.93,470.67,-134.19,308.55,1724.78
2049,151.65,3676.44,555.11,811.27,308.58,2016.06,471.00,-140.84,294.01,1724.18
2050,148.09,3336.64,517.08,720.90,307.34,1819.19,471.32,-147.49,279.47,1723.58
