year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,464.71,13106.89,4518.06,1663.86,387.23,5724.49,1207.28,-178.67,1200.49,1737.51
2021,442.83,13056.32,4492.23,1664.29,387.80,5752.22,1194.94,-165.66,1147.58,1737.77
2022,420.96,13005.75,4466.41,1664.72,388.36,5779.95,1182.61,-152.65,1094.68,1738.03
2023,399.09,12955.18,4440.58,1665.15,388.93,5807.67,1170.28,-139.64,1041.78,1738.29
2024,377.22,12904.61,4414.76,1665.58,389.50,5835.40,1157.94,-126.63,988.87,1738.55
2025,355.35,12854.04,4388.93,1666.01,390.06,5863.13,1145.61,-113.63,935.97,1738.80
2026,336.66,12574.37,4199.71,1654.26,376.49,5824.92,1129.71,-103.11,895.49,1739.36
2027,317.97,12294.70,4010.50,1642.50,362.92,5786.70,1113.81,-92.59,855.01,1739.92
2028,299.28,12015.04,3821.28,1630.75,349.35,5748.48,1097.91,-82.07,814.52,1740.48
2029,280.59,11735.37,3632.07,1619.00,335.77,5710.26,1082.01,-71.55,774.04,1741.03
2030,261.91,11455.70,3442.85,1607.25,322.20,5672.04,1066.11,-61.03,733.56,1741.59
2031,253.59,10875.74,3072.97,1593.40,326.42,5510.25,1054.96,-59.57,699.12,1740.37
2032,245.28,10295.78,2703.08,1579.55,330.64,5348.46,1043.81,-58.11,664.68,1739.15
2033,236.97,9715.83,2333.20,1565.71,334.85,5186.67,1032.66,-56.65,630.25,1737.93
2034,228.65,9135.87,1963.32,1551.86,339.07,5024.88,1021.51,-55.19,595.81,1736.71
2035,220.34,8555.92,1593.43,1538.02,343.29,4863.09,1010.36,-53.74,561.38,1735.49
2036,214.17,8273.38,1568.73,1495.25,337.01,4671.46,902.87,-58.04,537.94,1734.52
2037,207.99,7990.85,1544.03,1452.49,330.72,4479.83,795.37,-62.35,514.50,1733.55
2038,201.82,7708.31,1519.32,1409.72,324.44,4288.20,687.87,-66.66,491.07,1732.58
2039,195.64,7425.78,1494.62,1366.96,318.16,4096.57,580.37,-70.96,467.63,1731.61
2040,189.47,7143.24,1469.92,1324.19,311.87,3904.94,472.87,-75.27,444.20,1730.64
2041,184.76,6963.20,1558.85,1293.89,318.48,3684.66,472.23,-83.06,425.79,1729.83
2042,180.05,6783.15,1647.79,1263.60,325.08,3464.38,471.59,-90.85,407.39,1729.02
2043,175.34,6603.11,1736.72,1233.30,331.69,3244.11,470.96,-98.65,388.98,1728.21
2044,170.63,6423.06,1825.66,1203.00,338.29,3023.83,470.32,-106.44,370.58,1727.40
2045,165.92,6243.02,1914.59,1172.70,344.89,2803.55,469.69,-114.23,352.17,1726.59
2046,162.36,5787.11,1760.46,1082.34,344.08,2606.68,470.01,-120.88,337.63,1725.98
2047,158.79,5331.20,1606.32,991.98,343.26,2409.81,470.34,-127.53,323.09,1725.38
2048,155.22,4875.28,1452.18,901.62,342.45,2212.93,470.67,-134.19,308.55,1724.78
2049,151.65,4419.37,1298.04,811.26,341.63,2016.06,471.00,-140.84,294.01,1724.18
2050,148.09,3963.46,1143.90,720.90,340.82,1819.19,471.32,-147.49,279.47,1723.58
