year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,464.71,12922.74,4435.02,1601.60,379.33,5699.63,1207.28,-207.60,1186.48,1729.79
2021,442.83,12774.96,4385.13,1580.11,377.47,5684.35,1194.94,-210.55,1125.37,1726.17
2022,420.96,12627.19,4335.23,1558.62,375.60,5669.07,1182.61,-213.49,1064.27,1722.54
2023,399.09,12479.41,4285.33,1537.13,373.74,5653.79,1170.28,-216.43,1003.16,1718.92
2024,377.22,12331.64,4235.44,1515.64,371.87,5638.51,1157.94,-219.38,942.06,1715.29
2025,355.35,12183.86,4185.54,1494.15,370.01,5623.22,1145.61,-222.32,880.95,1711.67
2026,336.66,11703.28,3937.09,1446.16,351.28,5491.30,1129.71,-228.94,828.73,1708.27
2027,317.97,11222.71,3688.65,1398.17,332.55,5359.37,1113.81,-235.55,776.51,1704.88
2028,299.28,10742.13,3440.20,1350.19,313.82,5227.45,1097.91,-242.16,724.29,1701.49
2029,280.59,10261.55,3191.75,1302.20,295.09,5095.52,1082.01,-248.77,672.07,1698.09
2030,261.91,9780.97,2943.31,1254.21,276.36,4963.60,1066.11,-255.38,619.85,1694.70
2031,253.59,9044.46,2520.88,1232.36,284.86,4706.53,1054.96,-259.76,584.69,1678.39
2032,245.28,8307.95,2098.45,1210.50,293.37,4449.47,1043.81,-264.13,549.52,1662.09
2033,236.97,7571.44,1676.02,1188.65,301.87,4192.41,1032.66,-268.51,514.36,1645.78
2034,228.65,6834.93,1253.60,1166.79,310.37,3935.34,1021.51,-272.88,479.19,1629.48
2035,220.34,6098.42,831.17,1144.94,318.87,3678.28,1010.36,-277.26,444.03,1613.18
2036,214.17,5637.17,800.93,1097.57,310.75,3322.37,902.87,-280.63,416.29,1603.97
2037,207.99,5175.92,770.70,1050.20,302.62,2966.46,795.37,-284.00,388.56,1594.76
2038,201.82,4714.66,740.46,1002.83,294.49,2610.54,687.87,-287.37,360.82,1585.55
2039,195.64,4253.41,710.23,955.47,286.37,2254.63,580.37,-290.75,333.09,1576.35
2040,189.47,3792.16,679.99,908.10,278.24,1898.72,472.87,-294.12,305.35,1567.14
2041,184.76,3415.84,647.43,831.06,282.71,1658.70,472.23,-295.93,278.65,1543.93
2042,180.05,3039.52,614.87,754.03,287.18,1418.68,471.59,-297.75,251.94,1520.71
2043,175.34,2663.20,582.32,676.99,291.64,1178.66,470.96,-299.57,225.23,1497.50
2044,170.63,2286.88,549.76,599.96,296.11,938.63,470.32,-301.38,198.53,1474.28
2045,165.92,1910.55,517.20,522.92,300.58,698.61,469.69,-303.20,171.82,1451.07
2046,162.36,1576.72,418.78,431.35,251.68,567.98,470.01,-304.00,158.61,1428.30
2047,158.79,1242.89,320.36,339.79,202.79,437.35,470.34,-304.81,145.40,1405.53
2048,155.22,909.06,221.94,248.22,153.89,306.72,470.67,-305.61,132.19,1382.77
2049,151.65,575.23,123.52,156.65,104.99,176.09,471.00,-306.42,118.97,1360.00
2050,148.09,241.40,25.10,65.08,56.09,45.46,471.32,-307.22,105.76,1337.23
