year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,others,lulucf
2020,464.71,13315.99,4602.47,1666.18,394.64,5780.05,1207.28,-301.61,1267.29,1746.78
2021,442.83,13311.05,4573.22,1672.87,395.15,5852.14,1194.94,-292.02,1212.82,1751.72
2022,420.96,13306.12,4543.97,1679.57,395.65,5924.23,1182.61,-282.43,1158.36,1756.66
2023,399.09,13301.19,4514.71,1686.26,396.16,5996.32,1170.28,-272.84,1103.90,1761.61
2024,377.22,13296.25,4485.46,1692.95,396.66,6068.41,1157.94,-263.24,1049.43,1766.55
2025,355.35,13291.32,4456.20,1699.65,397.16,6140.50,1145.61,-253.65,994.97,1771.49
2026,336.66,13308.64,4482.64,1689.71,391.08,6183.59,1131.04,-238.35,952.69,1776.43
2027,317.97,13325.96,4509.09,1679.76,385.00,6226.69,1116.47,-223.05,910.42,1781.37
2028,299.28,13343.27,4535.53,1669.82,378.91,6269.78,1101.90,-207.75,868.14,1786.31
2029,280.59,13360.59,4561.97,1659.88,372.83,6312.88,1087.33,-192.44,825.87,1791.25
2030,261.91,13377.91,4588.41,1649.94,366.74,6355.98,1072.76,-177.14,783.59,1796.19
2031,253.59,13375.57,4621.47,1660.99,369.80,6338.28,1062.45,-172.68,754.82,1799.14
2032,245.28,13373.23,4654.54,1672.05,372.85,6320.59,1052.13,-168.23,726.06,1802.08
2033,236.97,13370.89,4687.60,1683.10,375.90,6302.90,1041.82,-163.77,697.29,1805.02
2034,228.65,13368.54,4720.66,1694.15,378.96,6285.20,1031.51,-159.31,668.52,1807.97
2035,220.34,13366.20,4753.73,1705.21,382.01,6267.51,1021.19,-154.86,639.76,1810.91
2036,214.17,13232.23,4681.79,1715.96,367.31,6213.04,1016.82,-160.92,621.44,1813.85
2037,207.99,13098.25,4609.85,1726.71,352.61,6158.57,1012.45,-166.98,603.13,1816.79
2038,201.82,12964.27,4537.91,1737.46,337.92,6104.09,1008.08,-173.04,584.81,1819.73
2039,195.64,12830.30,4465.97,1748.21,323.22,6049.62,1003.71,-179.11,566.49,1822.67
2040,189.47,12696.32,4394.03,1758.96,308.52,5995.15,999.34,-185.17,548.18,1825.61
2041,184.76,12669.90,4429.89,1769.35,309.26,5935.28,1000.22,-194.58,535.39,1828.47
2042,180.05,12643.49,4465.74,1779.73,309.99,5875.41,1001.09,-203.98,522.60,1831.34
2043,175.34,12617.07,4501.60,1790.11,310.73,5815.54,1001.97,-213.39,509.81,1834.20
2044,170.63,12590.65,4537.45,1800.50,311.47,5755.68,1002.85,-222.80,497.02,1837.07
2045,165.92,12564.23,4573.31,1810.88,312.20,5695.81,1003.73,-232.21,484.23,1839.93
2046,162.36,12526.14,4587.69,1820.21,311.77,5643.68,1004.61,-240.18,474.56,1842.79
2047,158.79,12488.05,4602.07,1829.54,311.33,5591.55,1005.50,-248.15,464.89,1845.65
2048,155.22,12449.96,4616.45,1838.86,310.90,5539.42,1006.39,-256.11,455.22,1848.50
2049,151.65,12411.87,4630.84,1848.19,310.46,5487.30,1007.27,-264.08,445.55,1851.36
2050,148.09,12373.79,4645.22,1857.52,310.03,5435.17,1008.16,-272.05,435.88,1854.22
