date,p00,p05,p20,p40,p60,p80,p95,p100
2025-06-29,9.4,14.8,17.7,19.7,21.3,23.5,26.2,29.7
2025-06-30,9.4,15.0,17.7,19.7,21.3,23.5,26.2,29.7
2025-07-01,9.4,15.1,17.7,19.7,21.3,23.5,26.1,29.7
2025-07-02,9.4,15.1,17.7,19.8,21.4,23.5,26.1,29.7
2025-07-03,9.4,14.9,17.8,19.8,21.4,23.6,26.3,29.7
2025-07-04,9.4,15.0,17.8,19.8,21.5,23.6,26.3,29.7
2025-07-05,9.4,15.1,17.8,19.9,21.5,23.7,26.3,29.7
2025-07-06,9.4,15.0,17.8,20.0,21.6,23.7,26.3,29.7
2025-07-07,9.4,15.1,18.0,20.0,21.7,23.7,26.3,29.7
2025-07-08,9.4,15.2,18.1,20.0,21.6,23.7,26.3,29.7
2025-07-09,9.4,15.3,18.1,20.1,21.7,23.6,26.3,29.7
2025-07-10,9.4,15.3,18.2,20.2,21.8,23.6,26.3,29.7
2025-07-11,9.4,15.5,18.2,20.2,21.8,23.6,26.3,29.7
2025-07-12,9.4,15.6,18.2,20.2,21.9,23.7,26.3,29.7
2025-07-13,10.8,15.8,18.3,20.2,21.9,23.8,26.3,29.4
2025-07-14,10.8,15.8,18.3,20.3,22.0,23.8,26.3,29.4
2025-07-15,10.8,15.6,18.3,20.3,22.1,23.9,26.5,29.4
2025-07-16,10.8,15.7,18.3,20.4,22.1,23.9,26.5,30.4
2025-07-17,10.8,15.7,18.4,20.4,22.1,23.9,26.5,30.4
2025-07-18,11.2,15.8,18.4,20.5,22.1,23.9,26.5,30.4
2025-07-19,11.2,15.6,18.5,20.4,22.1,23.8,26.5,30.4
2025-07-20,11.2,15.6,18.4,20.4,22.2,23.9,26.5,30.4
2025-07-21,11.2,15.7,18.4,20.4,22.2,23.9,26.6,30.4
2025-07-22,11.2,15.8,18.3,20.4,22.2,23.9,26.6,30.4
2025-07-23,11.2,15.8,18.4,20.5,22.3,24.0,26.6,30.4
2025-07-24,11.8,15.8,18.4,20.5,22.4,24.1,26.6,30.4
2025-07-25,11.8,15.8,18.5,20.5,22.4,24.2,26.5,30.4
2025-07-26,11.8,15.8,18.5,20.6,22.4,24.2,26.5,30.4
2025-07-27,11.8,15.7,18.5,20.6,22.4,24.2,26.5,30.4
2025-07-28,11.8,15.8,18.5,20.6,22.4,24.2,26.6,30.4
2025-07-29,11.6,15.8,18.5,20.5,22.4,24.2,26.5,30.4
2025-07-30,11.6,15.9,18.6,20.5,22.3,24.1,26.5,30.4
