official_name,name,name_locative,station_id,xml_id,elevation,longitude,latitude
Bilje,Nova Gorica,v Novi Gorici,1402,NOVA-GOR_BILJE,55,13.628606,45.895872
Bovec,Bovec,v Bovcu,1030,BOVEC,441,13.558466,46.332069
Celje Medlog,Celje,v Celju,1025,CELJE_MEDLOG,242,15.230694,46.236887
Kočevje,Kočevje,v Kočevju,1426,KOCEVJE,468,14.854372,45.646079
Kredarica,Kredarica,na Kredarici,1430,KREDA-ICA,2513,13.853571,46.379059
Lesce,Lesce,v Lescah,1034,LESCE,509,14.17649,46.362333
Letališče Portorož,Portorož,v Portorožu,1008,PORTOROZ_SECOVLJE,2,13.620635,45.475612
Lisca,Lisca,na Lisci,1435,LISCA,947,15.289718,46.068059
Ljubljana Bežigrad,Ljubljana,v Ljubljani,1495,LJUBL-ANA_BEZIGRAD,299,14.517092,46.065813
Maribor Vrbanski plato,Maribor,v Mariboru,1491,MARIBOR_VRBAN-PLA,279,15.630923,46.568108
Novo mesto,Novo mesto,v Novem mestu,1447,NOVO-MES,220,15.18206,45.80208
Postojna,Postojna,v Postojni,1455,POSTOJNA,538,14.201984,45.772531
Rakičan,Murska Sobota,v Murski Soboti,1444,MURSK-SOB,187,16.196241,46.652401
Vogel,Vogel,na Voglu,1481,VOGEL,1515,13.84428,46.259784
Šmartno pri Slovenj Gradcu,Šmartno pri Slovenj Gradcu,v Šmartnem pri Slovenj Gradcu,1471,SLOVE-GRA,444,15.11605,46.489897
