mesec,tip,st_vseh,st_dizel,st_dizel_hev,st_bencin,st_bencin_hev,st_skupaj_hev,st_bev,st_drugo,st_elektrificiranih
2018-06,avtobus,17,17,0,0,0,0,0,0,0
2018-06,osebni avtomobil,10509,4964,10,5317,146,156,39,33,195
2018-06,tovorno vozilo,1217,1146,0,66,0,0,0,5,0
2018-06,traktor,335,305,0,29,0,0,1,0,0
2018-06,vlečno vozilo,303,302,0,0,0,0,0,1,0
2018-07,avtobus,5,5,0,0,0,0,0,0,0
2018-07,osebni avtomobil,9534,4913,12,4403,143,155,42,21,197
2018-07,tovorno vozilo,1198,1095,1,95,0,1,2,5,3
2018-07,traktor,330,303,0,27,0,0,0,0,0
2018-07,vlečno vozilo,227,224,0,0,0,0,0,3,0
2018-08,avtobus,27,26,1,0,0,1,0,0,1
2018-08,osebni avtomobil,8609,4288,22,4045,212,234,25,17,259
2018-08,tovorno vozilo,1066,1015,0,50,0,0,0,1,0
2018-08,traktor,248,224,1,23,0,1,0,0,1
2018-08,vlečno vozilo,183,183,0,0,0,0,0,0,0
2018-09,avtobus,24,18,0,0,0,0,0,6,0
2018-09,osebni avtomobil,7835,4249,10,3390,117,127,52,17,179
2018-09,tovorno vozilo,1185,1152,0,17,0,0,16,0,16
2018-09,traktor,267,251,0,16,0,0,0,0,0
2018-09,vlečno vozilo,292,292,0,0,0,0,0,0,0
2018-10,avtobus,34,34,0,0,0,0,0,0,0
2018-10,osebni avtomobil,8874,4658,19,3905,171,190,105,16,295
2018-10,tovorno vozilo,1348,1243,0,98,0,0,6,1,6
2018-10,traktor,288,258,0,30,0,0,0,0,0
2018-10,vlečno vozilo,343,342,1,0,0,1,0,0,1
2018-11,avtobus,15,15,0,0,0,0,0,0,0
2018-11,osebni avtomobil,7949,3890,19,3842,133,152,37,28,188
2018-11,tovorno vozilo,1327,1219,0,105,0,0,0,3,0
2018-11,traktor,249,233,0,16,0,0,0,0,0
2018-11,vlečno vozilo,303,303,0,0,0,0,0,0,0
2018-12,avtobus,16,15,0,0,0,0,1,0,1
2018-12,osebni avtomobil,5971,3138,14,2689,79,94,41,10,135
2018-12,tovorno vozilo,1156,1091,0,59,0,0,1,5,1
2018-12,traktor,219,203,0,16,0,0,0,0,0
2018-12,vlečno vozilo,199,199,0,0,0,0,0,0,0
2019-01,avtobus,18,8,0,0,0,0,0,10,0
