year,total,enteric_fermentation,manure_management,agricultural_soils,liming,urea_application,fertilizers
1986,1930.5790893031601,980.784883335844,422.96179586074834,469.82232906590707,44,9.08689545739129,3.92318558326934
1987,1942.0777917505939,961.947533588966,427.3156426410179,493.71961316600243,44,10.58629887811593,4.5087034764915
1988,1905.142335532928,956.5758581727728,419.72784383167584,470.9488162915048,44,9.78028638144927,4.10953085552533
1989,1867.1224719547004,953.3641027235097,412.2092149002969,445.5347602814812,44,8.49318262434783,3.52121142506467
1990,1854.895081547922,935.249900110513,417.47990576330284,445.95195905005585,44,8.66734412898549,3.545972495065
1991,1740.2475927910718,884.9694721174723,391.9043383754529,408.62177408450106,44,7.65943802927536,3.09257018437033
1992,1860.9978452070077,898.20199985466,407.5206317853078,493.535214238063,44,12.68491690782608,5.05508242115067
1993,1754.006982848577,857.0148285347935,387.47181636787997,450.2131556546288,44,10.9857200742029,4.321462217072
1994,1770.8167511155646,864.93119148618,386.03408873809235,460.281397606959,44,11.17534,4.39473328433333
1995,1769.201189341024,904.2524838481165,361.19496528469057,458.81497234952127,28.66512,12.26978260869565,4.00386525
1996,1710.522924182376,885.9814134795542,342.8817078404185,443.9560612174758,23.80356,9.7963768115942,4.10380483333333
1997,1667.1458596595648,837.1974893040438,342.59182826700055,456.5169602624336,14.8126,11.67434782608696,4.352634
1998,1705.7322623350437,854.5325622712647,350.2583044574713,467.4499264468874,17.2678,11.74768115942029,4.475988
1999,1720.2294296960017,891.73922071705,324.30289327885504,469.49467156966205,18.65072,11.62173913043478,4.420185
2000,1806.0941241632793,948.9299540830963,343.87090857549686,479.91792317135287,17.17056,11.84333333333333,4.361445
2001,1783.7624485158537,931.6227112689845,341.3274715589167,477.77671089809735,16.55588,12.03942028985507,4.4402545
2002,1840.2038717996188,960.0072765633455,361.7478424225472,486.44760924691457,14.78444,12.9672463768116,4.24945719
2003,1750.3700737172435,906.7678076993052,343.97932989918075,466.1155536020907,16.016,12.90305426666667,4.58832825
2004,1698.8321111811847,899.8677191089313,326.82583587668796,443.7378079222322,13.76804,10.75992133333334,3.87278694
2005,1713.8239076649943,915.575281618715,329.47704426619595,439.7043141734166,13.56036,11.65174266666667,3.85516494
2006,1713.6283840567735,912.542547008407,327.5977220488078,444.7761285462253,13.88244,11.08557633333333,3.74397012
2007,1769.6939539260197,951.838050248288,340.76329841842846,449.7205192726367,12.52284,10.52198766666667,4.32725832
2008,1692.7543433052645,930.0177358151112,323.46984474229487,416.37982728452494,12.18052,7.40555053333333,3.30086493
2009,1705.589087450183,915.167972859514,325.840215865422,434.3422038285802,12.83788,13.48053666666667,3.92027823
2010,1675.227931880224,902.554618516867,316.50973676820695,428.32902645615013,12.90432,11.1023,3.827930139
2011,1657.2497629339239,902.7916798666947,308.87753329683807,420.8002797907244,10.91244,9.61667226666667,4.251157713
2012,1641.7540161913676,899.0037840346432,301.99064689904475,413.76075911767964,12.05424,11.2409704,3.70361574
2013,1627.2828839154358,888.7911762598053,301.52252213935196,410.5895517229452,11.85492,10.34953333333334,4.17518046
2014,1674.3416419878383,907.9995486646862,307.03886023003514,434.00147356978357,11.10868,9.42377333333333,4.76930619
2015,1714.3622819350035,935.568863059743,317.701863878825,436.82685211643536,10.78,8.74368,4.74102288
2016,1734.7381915254896,951.2160232286402,324.0099788951124,435.1584107950702,10.53932,9.45706666666667,4.35739194
2017,1700.898860859634,931.8706664473567,319.51509081382744,426.4469044758163,10.25816,8.30133333333333,4.5067057893
2018,1700.5612268038183,927.449121109064,316.86226869289334,429.89394601186103,11.62744,10.516,4.21245099
2019,1718.3823898410378,939.6721637361416,315.78927795295226,434.7386911552774,12.98352,10.3876666666667,4.81107033
