year,total,fuel_combustion__total,fuel_combustion__energy_industries,fuel_combustion__manufacturing_construction,fuel_combustion__transport,fuel_combustion__other_sectors,fuel_combustion__other,fugitive_emissions__total,fugitive_emissions__solid_fuels,fugitive_emissions__oil_gas_other
1986,16460.562115148015,15867.595871485253,6840.986171261839,4340.288588890043,2051.4085968441004,2593.4697405012707,41.442773988,592.9662436627644,550.5755406189265,42.3907030438379
1987,15674.499587579196,15108.351666993847,6479.2807258076655,3868.358747306538,2424.93059841375,2303.7576337478936,32.023961718,566.1479205853489,521.4840352155566,44.66388536979239
1988,15064.463858003222,14490.168030352219,6566.928829052486,3530.7630626761807,2454.3310454834414,1906.1211314221105,32.023961718,574.2958276510033,517.7645789402516,56.5312487107517
1989,14908.236911637732,14334.63573477765,6673.701189575959,3320.370804663122,2484.5841941349404,1823.955584685629,32.023961718,573.6011768600828,514.9105166828814,58.69066017720136
1990,14633.635859694497,14121.989954529683,6374.890394922163,3087.6943523871882,2736.617642033861,1890.7636034684708,32.023961718,511.6459051648148,461.413799699147,50.23210546566783
1991,13721.843044190886,13245.61884096106,5431.413909772941,3067.3423597794613,2592.944162935899,2147.0112794747583,6.907128998,476.2242032298256,429.41163739657196,46.81256583325363
1992,13634.675966515906,13111.533876873187,5964.573294340935,2578.2192518356383,2634.76803128603,1932.5918736109847,1.3814257996,523.1420896427192,484.4290826110782,38.71300703164093
1993,14179.752992659693,13699.969670266331,5754.253031619257,2502.953693497196,3189.8392592622204,2251.5422600880574,1.3814257996,479.78332239336265,442.3832480847816,37.40007430858102
1994,14416.153294476497,13955.502981814945,5536.86203592206,2675.6704782410893,3586.701218178075,2154.8878236741193,1.3814257996,460.65031266155296,422.9970988308923,37.65321383066069
1995,15196.8266791258,14709.51430020989,5725.076009221552,2623.4815805087824,4019.8252990615565,2339.7499856183986,1.3814257996,487.31237891590905,442.2227107656795,45.08966815022955
1996,15861.574562205546,15392.154297090894,5327.364250613017,2514.0812324452572,4571.650171148733,2977.6772170842864,1.3814257996,469.42026511465286,426.82905526878875,42.59120984586414
1997,16373.970843240231,15871.646253247387,5749.265511310386,2301.8970224635227,4774.761467111101,3044.340826562777,1.3814257996,502.3245899928454,456.58115293762177,45.74343705522367
1998,15899.103972972314,15400.109952395454,5988.4070458937895,2281.214788441406,3961.0054605277687,3166.7825980150906,2.7000595174,498.99402057685853,453.208654884873,45.78536569198552
1999,15217.475340563577,14739.726374664706,5289.140985989824,2293.50917797114,3749.858362592397,3404.3294123485443,2.8884357628,477.7489658988709,430.58089416169076,47.16807173718013
2000,14835.220456450088,14362.947623602815,5594.437092894734,2288.052942088232,3698.1652478293518,2779.215528782297,3.0768120082,472.2728328472725,424.3231612743202,47.94967157295232
