year,total,mineral_industry,chemical_industry,metal_industry,non_energy_products,electronic_industry,product_uses_as_ods,other_product_manufacture
1986,1407.9822425858142,742.9595142800343,97.70844689393691,470.6796003166348,8.13208909520811,NO,NO,88.502592
1987,1421.589260510386,708.2970089735467,105.89283841741198,519.607374001467,8.54264511796045,NO,NO,79.249394
1988,1491.6810830468087,767.3350552610354,131.24519595088705,514.2025917386501,8.90204409623621,NO,NO,69.996196
1989,1436.6323721157814,720.1335656123196,121.03967803957995,524.4077378665846,9.14103259729732,NO,NO,61.910358
1990,1392.8763302467858,694.4040861255287,87.54023008983822,550.8945528062695,8.48838122514932,NO,NO,51.54908
1991,1073.9719336351018,584.8404678465572,66.02121915567766,369.28976067220333,8.41608596066367,NO,NO,45.4044
1992,1063.7322422246666,509.46250485935764,45.88306621140899,464.5448180388614,7.35465311503861,NO,NO,36.4872
1993,893.0637849356307,413.61249810879684,43.99658251513088,366.2789045156079,8.30347415609511,NO,31.41216364,29.460162
1994,1068.7147957482218,527.1850534905235,70.0225446756309,402.57559200512213,8.33459605694528,NO,31.65428552,28.942724
1995,1073.0624594130375,542.8846989240377,88.03679042706645,373.8286287600722,6.71062605591679,NO,32.88673124594433,28.714984
1996,1074.4177848380127,563.1340365454266,82.52228584203382,359.7231225549406,8.32407893904821,NO,29.86146095656352,30.8528
1997,1113.8172122286032,578.4845030642554,101.46428440529186,355.25312189363905,12.6643683601241,NO,34.4835345052929,31.4674
1998,1092.8324262948436,592.211785767839,110.7611944185499,302.30834545700446,16.81752668118867,NO,31.08935597026151,39.644218
1999,1117.3422514618394,593.5916315663111,114.59610736180792,315.997647402441,15.21993341398315,NO,31.4229657172963,46.513966
2000,1162.4993667658043,598.4284711885401,113.32275338556597,334.35114800117134,14.1370028393842,NO,46.17165935114269,56.088332
2001,1219.1183907560046,622.8028494645449,119.82022376131373,340.1835408070612,23.2328757477227,NO,62.75153297536201,50.327368
2002,1228.3876817420996,554.7760245885054,112.66307260480119,406.933978106992,23.74960543056305,NO,78.61035101123797,51.65465
2003,1297.93346390861,565.8700686074534,135.53760231928865,429.4595133309114,18.7015976224612,NO,99.23194802849547,49.132734
2004,1351.4639860865473,587.588062110203,125.73635470735086,433.11540211412984,27.83094291830478,NO,121.99706423655867,55.19616
2005,1427.3911637535418,636.0738240262916,136.52301575924952,424.6076478932024,24.90830899900293,NO,145.63853117579538,59.6398359
2006,1473.0743176237731,673.840549251674,139.51305405255843,403.61731392626996,26.47525570480056,NO,169.25072778429808,60.377416904172
2007,1481.355746350153,705.1011778611141,137.7793205510282,362.4115155940233,22.11872234658925,NO,195.90742977459016,58.037580222808
2008,1346.953384915136,749.8782697541535,96.76414917142368,210.657359285537,19.39526721705539,NO,224.36580712631834,45.892532360648
2009,1012.7889019661271,516.8751502087168,90.40365785482932,97.56087833837587,17.06936273697212,NO,243.91489334723295,46.96495948
2010,1015.8048330968504,479.391672429149,89.33973285718818,126.90465013156,14.94923035429761,NO,258.0281131846555,47.19143414
2011,1031.2084914752274,423.81044012349884,60.09568690070348,194.5537976581533,16.83565677930077,NO,270.379723993571,65.53318602
2012,1058.9847316224111,416.8189980440807,46.23726192864319,205.67378497426125,20.56462953538614,NO,294.9442919200398,74.74576522
2013,1123.9772023223516,476.68617712139854,55.3710476930653,204.7754536345832,18.00203611010792,NO,316.2200558419486,52.922431921248
2014,1163.2916210236097,501.3853862288275,56.91571021650751,206.64521666842103,23.74491384145923,NO,333.57161104714635,41.028783021248
2015,1146.324775274006,452.90109751805693,59.86737614017082,208.43338633075348,25.84689975098847,NO,343.7884241334122,55.487591400624
2016,1145.3045950729893,431.9195501420281,62.08704674915575,217.85612814317741,26.5008670236852,NO,351.5098232375188,55.431179777424
2017,1191.5159089137132,497.1311556361387,64.93642440262862,222.52925270672088,31.67394843671029,NO,339.16951646809065,36.075611263424
2018,1214.496726817166,541.1129803917449,58.14853077548389,217.77074271778957,32.53697312889099,NO,320.4030868298327,44.524412973424
2019,1260.5850088415164,565.6970862638564,60.3025666888,190.1827259427469,34.55677388526661,NO,295.47069589342243,114.375160167424
